"dataset","tissue","celltype","marker"
"tabulasapiens_top20","Bladder","capillary endothelial cell","CLDN5,ADGRL4,CLEC14A,VWF,SOX17,FLT1,EMCN,PLVAP,ESAM,SOX18,PODXL,PCAT19,ADGRF5,CDH5,ECSCR,TM4SF18,TSPAN7,CYYR1,NOTCH4,TIE1"
"tabulasapiens_top20","Bladder","smooth muscle cell","DES,ACTG2,MYH11,ACTC1,CNN1,SYNM,MYLK,PCP4,SMTN,SYNPO2,SORBS1,CARMN,PPP1R14A,PGM5-AS1,LMOD1,FILIP1,TNS1,PGM5,FBXO32,PPP1R12B"
"tabulasapiens_top20","Bladder","fibroblast","PLA2G2A,IGFBP6,MGP,DCN,SFRP2,ADH1B,APOD,C1R,EFEMP1,GPX3,CCDC80,FBLN1,C3,SERPINF1,MFAP5,NNMT,C1S,COL1A2,CFD,PCOLCE2"
"tabulasapiens_top20","Bladder","pericyte cell","TAGLN,ACTA2,RGS5,MYH11,MYL9,AP002956.1,TPM2,PPP1R14A,SORBS2,CSRP2,MT1M,PLN,RERGL,CNN1,MYLK,CSRP1,TPM1,BCAM,SPARCL1,NOTCH3"
"tabulasapiens_top20","Bladder","mast cell","TPSB2,TPSAB1,CPA3,HPGDS,MS4A2,RHEX,IL1RL1,KIT,CD69,VWA5A,CTSG,ALOX5AP,HDC,ADCYAP1,GATA2,SLC18A2,LTC4S,RGS13,GPR65,DUSP6"
"tabulasapiens_top20","Bladder","nk cell","GZMB,GZMA,NKG7,GNLY,IL32,PRF1,CCL5,CD2,CD3D,CST7,CD7,TRBC2,KLRD1,CD3E,CD3G,IKZF3,GBP5,GPRIN3,GZMK,CTLA4"
"tabulasapiens_top20","Bladder","endothelial cell of lymphatic vessel","CCL21,TFF3,CLDN5,MMRN1,ECSCR,KANK3,PCAT19,NTS,SCN3B,FLT4,PKHD1L1,ADGRG3,TIE1,CR381670.1,TBX1,RELN,SOX18,TM4SF18,MYCT1,SCGB1D2"
"tabulasapiens_top20","Bladder","vein endothelial cell","ACKR1,AQP1,PLVAP,VWF,CLDN5,PECAM1,IFI27,TM4SF1,EMCN,ADGRL4,SELE,C2CD4B,RAMP3,ECSCR,TSPAN7,CLEC14A,LDB2,ADAMTS9,FLT1,PCAT19"
"tabulasapiens_top20","Bladder","b cell","MS4A1,HLA-DQA1,CD79A,BANK1,TNFRSF13C,NAPSB,TNFRSF13B,STAG3,SPIB,BLK,CD22,CD19,PAX5,FCRL1,TLR10,SHISA8,LINC02397,FCRLA,LINC01781,LINC00926"
"tabulasapiens_top20","Bladder","plasma cell","JCHAIN,IGHA1,IGHA2,IGKC,MZB1,DERL3,IGLC3,SEC11C,IGHG1,FKBP11,CD79A,ISG20,SSR4,SPAG4,SPINK2,IGHG3,PRDX4,CD27,TNFRSF17,IGHG2"
"tabulasapiens_top20","Bladder","plasmacytoid dendritic cell","AL139020.1,LILRA4,LINC00996,SCT,CLEC4C,PTCRA,FAM129C,PACSIN1,SLC32A1,AL357143.1,SHD,SLC12A3,AC007381.1,SLC35F3,AC097375.1,LRRC26,SMPD3,LINC01225,LAMP5,CUX2"
"tabulasapiens_top30","Bladder","t cell","IL7R,CXCR4,IL32,CD3D,CD2,CD3E,KLRB1,CCL5,TRBC2,CD52,TRAC,LEPROTL1,CD69,LTB,CD7,CD3G,CYTIP,CD48,PTPRC,TRBC1,CNOT6L,ETS1,SPOCK2,BCL11B,ISG20,SYTL3,RORA,RUNX3,RGCC,ARL4C"
"tabulasapiens_top30","Bladder","macrophage","CD163,AIF1,C1QA,IL1B,LYZ,C1QB,RNASE1,TYROBP,MS4A6A,FCER1G,S100A9,F13A1,CCL3,CD14,C5AR1,S100A8,HLA-DRA,C1QC,MS4A7,CXCL8,EREG,BCL2A1,CYBB,MRC1,PLEK,FCGR2A,CTSS,VSIG4,CXCL3,CD74"
"tabulasapiens_top30","Bladder","myofibroblast cell","PLAT,A2M,LUM,PDGFRA,COL3A1,PDPN,MFAP4,NR2F1,CCN1,F3,ADAMTS1,ITGA8,MEG3,HSD17B2,TRPA1,RARRES2,TCF21,PDLIM3,PITX1,CRISPLD2,COL1A1,TGM2,CALD1,DCN,ID3,CYGB,C1S,MMP2,COL1A2,TBX3"
"tabulasapiens_top30","Bladder","bladder urothelial cell","KRT19,S100P,CLDN4,DHRS2,PSCA,ELF3,SPINK1,TACSTD2,GPX2,KRT8,KRT18,KRT13,SNCG,KRT7,GDF15,SFN,KRT17,AGR2,AQP3,KLF5,FXYD3,CLDN7,SDC1,LCN2,IGFBP2,AKR1C2,FABP4,VSIG2,FABP5,S100A2"
"tabulasapiens_top30","Bladder","capillary endothelial cell","CLDN5,ADGRL4,CLEC14A,VWF,SOX17,FLT1,EMCN,PLVAP,ESAM,SOX18,PODXL,PCAT19,ADGRF5,CDH5,ECSCR,TM4SF18,TSPAN7,CYYR1,NOTCH4,TIE1,PTPRB,NRN1,DIPK2B,KANK3,MYCT1,FAM167B,ERG,ROBO4,GPIHBP1,DLL4"
"tabulasapiens_top30","Bladder","smooth muscle cell","DES,ACTG2,MYH11,ACTC1,CNN1,SYNM,MYLK,PCP4,SMTN,SYNPO2,SORBS1,CARMN,PPP1R14A,PGM5-AS1,LMOD1,FILIP1,TNS1,PGM5,FBXO32,PPP1R12B,PRUNE2,RAMP1,SORBS2,NEXN,PDLIM7,PTGS1,LIMS2,FLNC,MSRB3,DMD"
"tabulasapiens_top30","Bladder","fibroblast","PLA2G2A,IGFBP6,MGP,DCN,SFRP2,ADH1B,APOD,C1R,EFEMP1,GPX3,CCDC80,FBLN1,C3,SERPINF1,MFAP5,NNMT,C1S,COL1A2,CFD,PCOLCE2,GSN,OGN,LUM,SCARA5,COL6A2,CTSK,SERPING1,FBLN2,FSTL1,FBN1"
"tabulasapiens_top30","Bladder","pericyte cell","TAGLN,ACTA2,RGS5,MYH11,MYL9,AP002956.1,TPM2,PPP1R14A,SORBS2,CSRP2,MT1M,PLN,RERGL,CNN1,MYLK,CSRP1,TPM1,BCAM,SPARCL1,NOTCH3,ADIRF,LMOD1,ADAMTS1,MT1A,IGFBP7,CAV1,ID4,FLNA,RGS16,ACTG2"
"tabulasapiens_top30","Bladder","mast cell","TPSB2,TPSAB1,CPA3,HPGDS,MS4A2,RHEX,IL1RL1,KIT,CD69,VWA5A,CTSG,ALOX5AP,HDC,ADCYAP1,GATA2,SLC18A2,LTC4S,RGS13,GPR65,DUSP6,FCER1G,SRGN,AL157895.1,BIRC3,CAPG,MAOB,RAC2,CALB2,HECW2-AS1,ARHGAP18"
"tabulasapiens_top30","Bladder","nk cell","GZMB,GZMA,NKG7,GNLY,IL32,PRF1,CCL5,CD2,CD3D,CST7,CD7,TRBC2,KLRD1,CD3E,CD3G,IKZF3,GBP5,GPRIN3,GZMK,CTLA4,CD247,LCK,GZMM,SH2D1A,GZMH,MKI67,IL2RB,KLRC1,SAMD3,PYHIN1"
"tabulasapiens_top30","Bladder","endothelial cell of lymphatic vessel","CCL21,TFF3,CLDN5,MMRN1,ECSCR,KANK3,PCAT19,NTS,SCN3B,FLT4,PKHD1L1,ADGRG3,TIE1,CR381670.1,TBX1,RELN,SOX18,TM4SF18,MYCT1,SCGB1D2,CCL14,AC007998.3,STAB2,GPR182,TLL1,ADD3-AS1,LINC01985,LINC01558,MSMP,CLEC4M"
"tabulasapiens_top30","Bladder","vein endothelial cell","ACKR1,AQP1,PLVAP,VWF,CLDN5,PECAM1,IFI27,TM4SF1,EMCN,ADGRL4,SELE,C2CD4B,RAMP3,ECSCR,TSPAN7,CLEC14A,LDB2,ADAMTS9,FLT1,PCAT19,JAM2,APOLD1,CAVIN2,CSF3,DIPK2B,LIFR,ZNF385D,LRRC32,CALCRL,EGFL7"
"tabulasapiens_top30","Bladder","b cell","MS4A1,HLA-DQA1,CD79A,BANK1,TNFRSF13C,NAPSB,TNFRSF13B,STAG3,SPIB,BLK,CD22,CD19,PAX5,FCRL1,TLR10,SHISA8,LINC02397,FCRLA,LINC01781,LINC00926,CD79B,LINC01857,CCR7,HLA-DQB1,LY9,IGHM,CXCR5,FAM30A,PARP15,VPREB3"
"tabulasapiens_top30","Bladder","plasma cell","JCHAIN,IGHA1,IGHA2,IGKC,MZB1,DERL3,IGLC3,SEC11C,IGHG1,FKBP11,CD79A,ISG20,SSR4,SPAG4,SPINK2,IGHG3,PRDX4,CD27,TNFRSF17,IGHG2,SDF2L1,ANKRD28,FCRL5,HIST1H1C,TENT5C,POU2AF1,CYTIP,PIM2,IGHG4,HERPUD1"
"tabulasapiens_top30","Bladder","plasmacytoid dendritic cell","AL139020.1,LILRA4,LINC00996,SCT,CLEC4C,PTCRA,FAM129C,PACSIN1,SLC32A1,AL357143.1,SHD,SLC12A3,AC007381.1,SLC35F3,AC097375.1,LRRC26,SMPD3,LINC01225,LAMP5,CUX2,KCNG2,SPIB,PLD4,KCNK10,AL513493.1,KCNK17,MYBL2,NAPSB,AC023590.1,IGHM"
"tabulasapiens_top10","Blood","erythrocyte","ALAS2,CA1,HBA1,AHSP,HBD,SNCA,HBA2,SLC25A39,HBB,HBM"
"tabulasapiens_top10","Blood","cd4-positive, alpha-beta memory t cell","IL7R,IL32,CD3D,TRAC,CD3E,CD3G,BCL11B,CD69,ETS1,TRBC2"
"tabulasapiens_top10","Blood","cd8-positive, alpha-beta cytokine secreting effector t cell","GNLY,KLRD1,NKG7,GZMA,CCL5,ARL4C,DUSP2,CD7,CTSW,HIST1H1E"
"tabulasapiens_top10","Blood","classical monocyte","VCAN,THBS1,KCTD12,CST3,LYZ,RNASE2,CD163,LTA4H,FCN1,GASK1B"
"tabulasapiens_top10","Blood","neutrophil","S100P,FCGR3B,BASP1,CD177,ALPL,MMP9,CXCR2,NAMPT,VNN2,CMTM2"
"tabulasapiens_top10","Blood","naive b cell","IGHM,CD79A,IGHD,AL139020.1,MS4A1,CD79B,LINC00926,HLA-DRA,TNFRSF13C,HLA-DPB1"
"tabulasapiens_top10","Blood","nk cell","GNLY,KLRD1,NKG7,PRF1,GZMA,GZMB,FGFBP2,CTSW,CD7,KLRF1"
"tabulasapiens_top10","Blood","memory b cell","CD79A,MS4A1,BANK1,HLA-DPB1,IGHM,CD79B,HLA-DRA,HLA-DPA1,TNFRSF13C,CD74"
"tabulasapiens_top10","Blood","type i nk t cell","GNLY,KLRD1,NKG7,GZMA,DUSP2,GZMB,ARL4C,PRF1,CD7,KLRB1"
"tabulasapiens_top10","Blood","cd141-positive myeloid dendritic cell","AVP,SPINK2,CRHBP,AC011139.1,NPR3,DPPA4,CD34,CLEC9A,MYCT1,LINC02573"
"tabulasapiens_top10","Blood","cd8-positive, alpha-beta t cell","IL32,CCL5,CD3D,IL7R,GZMA,CD3G,CD3E,TRAC,CD2,CD8A"
"tabulasapiens_top10","Blood","plasma cell","JCHAIN,MZB1,SEC11C,HSP90B1,FKBP11,TNFRSF17,SDF2L1,ITM2C,LMAN1,DERL3"
"tabulasapiens_top10","Blood","t cell","AC007216.3,CCR7,CD3E,CCDC141,SOCS1,LINC01215,TNRC6C,TXK,CCDC102B,GATA3"
"tabulasapiens_top10","Blood","platelet","PF4,GP9,CAVIN2,GNG11,ITGA2B,CMTM5,TREML1,MYL9,MPIG6B,PDLIM1"
"tabulasapiens_top10","Blood","naive thymus-derived cd4-positive, alpha-beta t cell","IL7R,CCR7,BCL11B,TCF7,CD3E,PRKCQ-AS1,CD3D,CD3G,LEF1,TRAC"
"tabulasapiens_top10","Blood","non-classical monocyte","UMODL1-AS1,LINC02139,AL158212.2,VMO1,ZNF229,ACKR3,CKB,SLC46A1,CDKN1C,KCNMA1"
"tabulasapiens_top10","Blood","hematopoietic stem cell","PRSS57,LAPTM4B,AVP,SPINK2,EGFL7,MYB,CRHBP,CYTL1,SOCS2,FAM30A"
"tabulasapiens_top10","Blood","plasmacytoid dendritic cell","ACY3,SPINK2,RASD1,DIPK1C,SYT2,NYNRIN,KIF17,PTPRD,KCNK17,SHD"
"tabulasapiens_top10","Blood","basophil","PRSS57,CPA3,GATA2,CYTL1,DPPA4,PNMT,CNRIP1,FCER1A,NPR3,AVP"
"tabulasapiens_top10","Blood","cd4-positive, alpha-beta t cell","IL7R,IL32,TRAC,CD3D,CD3G,LDHB,CD3E,LTB,PRKCQ-AS1,GIMAP7"
"tabulasapiens_top10","Blood","monocyte","MTND1P23,AC020656.1,VCAN,LYZ,AIF1,LGALS1,MS4A6A,CST3,ANXA2,NPC2"
"tabulasapiens_top10","Blood","plasmablast","TBC1D27P,GPRC5D,CAV1,CNKSR1,CHPF,AP002852.1,HRASLS2,BMP8B,MIR193BHG,AC092068.2"
"tabulasapiens_top10","Blood","cd24 neutrophil","SNORD115-31,MIR520E,RNU6-1028P,MIR508,RF00401-1,RPL23AP36,RPL32P31,AC009262.1,AC105402.1,AC243428.1"
"tabulasapiens_top10","Blood","nampt neutrophil","FTH1P20,AL512646.1,FTH1P7,FTH1P23,PLIN5,AC023886.2,CSF3R,RPS12,ALPL,RPLP1"
"tabulasapiens_top10","Blood","myeloid progenitor","CPA3,TPSAB1,ADCYAP1,AC055874.1,SHANK3,KLRG2,AMHR2,DPY19L1P2,FREM1,CLGN"
"tabulasapiens_top10","Blood","macrophage","NME2,GABARAP,ALDOA,ATP6V0C,AL138963.3,TNFSF13,AL662899.2,OVCA2,IFI30,CFP"
"tabulasapiens_top10","Blood","granulocyte",NA
"tabulasapiens_top20","Blood","erythrocyte","ALAS2,CA1,HBA1,AHSP,HBD,SNCA,HBA2,SLC25A39,HBB,HBM,GLRX5,GMPR,BPGM,TRIM58,FAM210B,GYPC,SELENBP1,GSPT1,DMTN,STRADB"
"tabulasapiens_top20","Blood","cd4-positive, alpha-beta memory t cell","IL7R,IL32,CD3D,TRAC,CD3E,CD3G,BCL11B,CD69,ETS1,TRBC2,PCED1B-AS1,SPOCK2,CD2,TCF7,LDHB,RCAN3,LEF1,GAS5,PIK3IP1,BCL2"
"tabulasapiens_top20","Blood","cd8-positive, alpha-beta cytokine secreting effector t cell","GNLY,KLRD1,NKG7,GZMA,CCL5,ARL4C,DUSP2,CD7,CTSW,HIST1H1E,PRF1,CD69,AREG,GZMB,HIST1H1D,KLRF1,CD3E,HOPX,JUN,KLRB1"
"tabulasapiens_top20","Blood","classical monocyte","VCAN,THBS1,KCTD12,CST3,LYZ,RNASE2,CD163,LTA4H,FCN1,GASK1B,CYBB,MPEG1,MAFB,FGL2,ALDH2,CCDC88A,MARCH1,METTL7A,AHNAK,LGALS1"
"tabulasapiens_top20","Blood","neutrophil","S100P,FCGR3B,BASP1,CD177,ALPL,MMP9,CXCR2,NAMPT,VNN2,CMTM2,ANXA3,IL1R2,BCL2A1,CYSTM1,MGAM,PROK2,AQP9,ARG1,PYGL,CSF3R"
"tabulasapiens_top20","Blood","naive b cell","IGHM,CD79A,IGHD,AL139020.1,MS4A1,CD79B,LINC00926,HLA-DRA,TNFRSF13C,HLA-DPB1,BANK1,HLA-DPA1,CD74,IGKC,P2RX5,RALGPS2,FCRL1,AFF3,BCL11A,HLA-DRB1"
"tabulasapiens_top20","Blood","nk cell","GNLY,KLRD1,NKG7,PRF1,GZMA,GZMB,FGFBP2,CTSW,CD7,KLRF1,CCL5,ARL4C,KLRB1,CD247,CLIC3,HOPX,SPON2,CCL4,GZMM,DUSP2"
"tabulasapiens_top20","Blood","memory b cell","CD79A,MS4A1,BANK1,HLA-DPB1,IGHM,CD79B,HLA-DRA,HLA-DPA1,TNFRSF13C,CD74,RALGPS2,BLK,HLA-DRB1,P2RX5,HLA-DQB1,LINC00926,LTB,CD52,FCMR,CD22"
"tabulasapiens_top20","Blood","type i nk t cell","GNLY,KLRD1,NKG7,GZMA,DUSP2,GZMB,ARL4C,PRF1,CD7,KLRB1,CTSW,AREG,CD69,KLRF1,HOPX,CD247,FGFBP2,CLIC3,NCR1,GZMM"
"tabulasapiens_top20","Blood","cd141-positive myeloid dendritic cell","AVP,SPINK2,CRHBP,AC011139.1,NPR3,DPPA4,CD34,CLEC9A,MYCT1,LINC02573,PRKG2,BAALC,ADGRG6,PROM1,BSPRY,KIT,AC026369.3,C3orf80,AJ009632.2,MYCN"
"tabulasapiens_top20","Blood","cd8-positive, alpha-beta t cell","IL32,CCL5,CD3D,IL7R,GZMA,CD3G,CD3E,TRAC,CD2,CD8A,GNLY,TRBC2,CD8B,GZMH,LYAR,PCED1B-AS1,NKG7,ARL4C,KLRD1,FGFBP2"
"tabulasapiens_top20","Blood","plasma cell","JCHAIN,MZB1,SEC11C,HSP90B1,FKBP11,TNFRSF17,SDF2L1,ITM2C,LMAN1,DERL3,IGHG1,PDIA4,MYDGF,XBP1,MANF,CALR,PDIA6,IGHA2,TXNDC5,POU2AF1"
"tabulasapiens_top20","Blood","t cell","AC007216.3,CCR7,CD3E,CCDC141,SOCS1,LINC01215,TNRC6C,TXK,CCDC102B,GATA3,CPLANE1,HIST1H1E,HIST1H1D,CD69,HIST1H2AK,TC2N,ZBED4,DYRK2,HIPK1-AS1,RGS1"
"tabulasapiens_top20","Blood","platelet","PF4,GP9,CAVIN2,GNG11,ITGA2B,CMTM5,TREML1,MYL9,MPIG6B,PDLIM1,CD9,ACRBP,PTCRA,TMEM40,PTGS1,BEX3,PF4V1,CLEC1B,RAB27B,NEXN"
"tabulasapiens_top20","Blood","naive thymus-derived cd4-positive, alpha-beta t cell","IL7R,CCR7,BCL11B,TCF7,CD3E,PRKCQ-AS1,CD3D,CD3G,LEF1,TRAC,RCAN3,MAL,CAMK4,OXNAD1,TRAT1,ITK,TSHZ2,TRABD2A,FBXO32,ANK3"
"tabulasapiens_top20","Blood","non-classical monocyte","UMODL1-AS1,LINC02139,AL158212.2,VMO1,ZNF229,ACKR3,CKB,SLC46A1,CDKN1C,KCNMA1,FMNL2,AC132192.1,QPRT,CXCR2P1,GPLD1,FOLR2,RTN1,PLK2,RAB39A,HLA-DRB6"
"tabulasapiens_top20","Blood","hematopoietic stem cell","PRSS57,LAPTM4B,AVP,SPINK2,EGFL7,MYB,CRHBP,CYTL1,SOCS2,FAM30A,SMIM24,GATA2,DPPA4,GUCY1A1,CD34,MSRB3,CPA3,NPR3,ST8SIA6,DIPK1B"
"tabulasapiens_top20","Blood","plasmacytoid dendritic cell","ACY3,SPINK2,RASD1,DIPK1C,SYT2,NYNRIN,KIF17,PTPRD,KCNK17,SHD,SLC4A3,PTH1R,LPAR3,BEND6,AC125603.1,NPTX2,CRISPLD1,SPP1,CLNK,AL591845.1"
"tabulasapiens_top20","Blood","basophil","PRSS57,CPA3,GATA2,CYTL1,DPPA4,PNMT,CNRIP1,FCER1A,NPR3,AVP,LINC02573,CAVIN1,MED12L,CD34,MYCT1,TIMP3,RHEX,CRYGD,CPXM1,FAM124B"
"tabulasapiens_top20","Blood","cd4-positive, alpha-beta t cell","IL7R,IL32,TRAC,CD3D,CD3G,LDHB,CD3E,LTB,PRKCQ-AS1,GIMAP7,BCL11B,TRBC2,TCF7,PCED1B-AS1,CCR7,LCK,NPM1,NOSIP,GAS5,LEF1"
"tabulasapiens_top20","Blood","monocyte","MTND1P23,AC020656.1,VCAN,LYZ,AIF1,LGALS1,MS4A6A,CST3,ANXA2,NPC2,CTSB,S100A10,FCN1,MTCO1P12,CPVL,FGL2,SULT1A1,HMOX1,RNASE1,CYBB"
"tabulasapiens_top20","Blood","plasmablast","TBC1D27P,GPRC5D,CAV1,CNKSR1,CHPF,AP002852.1,HRASLS2,BMP8B,MIR193BHG,AC092068.2,TXNDC5,SSPN,PYCR1,DERL3,IGKV1D-43,AC012236.1,TNFRSF17,NUGGC,PSAT1,MACROD1"
"tabulasapiens_top20","Blood","cd24 neutrophil","SNORD115-31,MIR520E,RNU6-1028P,MIR508,RF00401-1,RPL23AP36,RPL32P31,AC009262.1,AC105402.1,AC243428.1,BSNDP1,AL160413.1,HMGN2P11,AC113386.1,AC011611.2,HES3,AL162574.3,AL357558.2,AC104619.2,MTND2P7"
"tabulasapiens_top20","Blood","nampt neutrophil","FTH1P20,AL512646.1,FTH1P7,FTH1P23,PLIN5,AC023886.2,CSF3R,RPS12,ALPL,RPLP1,RPLP2,IFITM2,MT-ND4,RPS15,RPL28,RPL41,RPS11,TPT1,FTH1P8,UBB"
"tabulasapiens_top20","Blood","myeloid progenitor","CPA3,TPSAB1,ADCYAP1,AC055874.1,SHANK3,KLRG2,AMHR2,DPY19L1P2,FREM1,CLGN,C19orf81,AC073487.1,HPGDS,CD34,LINC01835,IGSF10,FERMT1,APOC1,IGLL1,FAM178B"
"tabulasapiens_top20","Blood","macrophage","NME2,GABARAP,ALDOA,ATP6V0C,AL138963.3,TNFSF13,AL662899.2,OVCA2,IFI30,CFP,RPS26,TMSB10,STAB1,HMOX1,CST3,AL591846.1,IFITM3,GSTM1,CTSB,RPS2P5"
"tabulasapiens_top20","Blood","granulocyte",NA
"tabulasapiens_top30","Blood","erythrocyte","ALAS2,CA1,HBA1,AHSP,HBD,SNCA,HBA2,SLC25A39,HBB,HBM,GLRX5,GMPR,BPGM,TRIM58,FAM210B,GYPC,SELENBP1,GSPT1,DMTN,STRADB,HBQ1,PDZK1IP1,MXI1,YBX3,BCL2L1,DCAF12,BNIP3L,UBB,SLC25A37,RBM38"
"tabulasapiens_top30","Blood","cd4-positive, alpha-beta memory t cell","IL7R,IL32,CD3D,TRAC,CD3E,CD3G,BCL11B,CD69,ETS1,TRBC2,PCED1B-AS1,SPOCK2,CD2,TCF7,LDHB,RCAN3,LEF1,GAS5,PIK3IP1,BCL2,ARL4C,ARID5B,PRKCQ-AS1,LEPROTL1,TRAT1,NPM1,PRDM1,LCK,ITK,TRBC1"
"tabulasapiens_top30","Blood","cd8-positive, alpha-beta cytokine secreting effector t cell","GNLY,KLRD1,NKG7,GZMA,CCL5,ARL4C,DUSP2,CD7,CTSW,HIST1H1E,PRF1,CD69,AREG,GZMB,HIST1H1D,KLRF1,CD3E,HOPX,JUN,KLRB1,CMC1,FGFBP2,GZMM,CD247,ETS1,CCL4,CLIC3,IL2RB,RUNX3,SAMD3"
"tabulasapiens_top30","Blood","classical monocyte","VCAN,THBS1,KCTD12,CST3,LYZ,RNASE2,CD163,LTA4H,FCN1,GASK1B,CYBB,MPEG1,MAFB,FGL2,ALDH2,CCDC88A,MARCH1,METTL7A,AHNAK,LGALS1,MS4A6A,CTSS,AIF1,ANXA2,PLBD1,GRN,CES1,AHR,CTSB,ZEB2"
"tabulasapiens_top30","Blood","neutrophil","S100P,FCGR3B,BASP1,CD177,ALPL,MMP9,CXCR2,NAMPT,VNN2,CMTM2,ANXA3,IL1R2,BCL2A1,CYSTM1,MGAM,PROK2,AQP9,ARG1,PYGL,CSF3R,MMP25,ACSL1,ALOX5AP,GCA,FAM129A,MME,BCL6,FPR1,S100A12,MXD1"
"tabulasapiens_top30","Blood","naive b cell","IGHM,CD79A,IGHD,AL139020.1,MS4A1,CD79B,LINC00926,HLA-DRA,TNFRSF13C,HLA-DPB1,BANK1,HLA-DPA1,CD74,IGKC,P2RX5,RALGPS2,FCRL1,AFF3,BCL11A,HLA-DRB1,FCMR,FCER2,IRF8,HLA-DQB1,CD22,CD52,IGLC2,CXCR4,STAG3,HLA-DQA1"
"tabulasapiens_top30","Blood","nk cell","GNLY,KLRD1,NKG7,PRF1,GZMA,GZMB,FGFBP2,CTSW,CD7,KLRF1,CCL5,ARL4C,KLRB1,CD247,CLIC3,HOPX,SPON2,CCL4,GZMM,DUSP2,AREG,IL2RB,CMC1,RUNX3,ETS1,TXK,PYHIN1,SAMD3,CST7,CD69"
"tabulasapiens_top30","Blood","memory b cell","CD79A,MS4A1,BANK1,HLA-DPB1,IGHM,CD79B,HLA-DRA,HLA-DPA1,TNFRSF13C,CD74,RALGPS2,BLK,HLA-DRB1,P2RX5,HLA-DQB1,LINC00926,LTB,CD52,FCMR,CD22,HLA-DQA1,BCL11A,GPR183,IGHD,IGHG1,IRF8,SPIB,HLA-DMA,HLA-DMB,VPREB3"
