"simuround","noise","celltype","gene","annotation"
1,0.5,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,TAS2R33,LOC121627838,ZNF836,LINC01567,NRBP1,PIN1,SNORD92","Smooth Muscle Cells"
1,0.5,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,SSTR5-AS1,ST14,CDCA4P4,FMN1,RALYL,LINC02312","T Cells"
1,0.5,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,MIR4472-1,MIR640,RPS29P26,LOC122861294,MYCBPAP,LOC121838582,RHOQ","Endothelial Cells"
1,0.75,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,RPL13P12,TAS2R19,BRI3,ATAD2B,LOC112268318,LOC105376686,LOC120893119","Adipocytes"
1,0.75,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,RPS15P3,LOC107984824,PABPC1L2B","B Cells"
1,0.75,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC116268460,TNFRSF10A-AS1,RGS2,PPFIA1P1,RPL23AP94,PTPRK,CLEC2D,LOC123493289,PMS2P5,SLC2A3P1,LOC119369029,TRDJ1,LRMDA,SNORD116-4,LOC105373602,LOC121201615,SDHDP1,LOC124310567,ZNF277,TBC1D22A-DT,TRBJ1-5","Fibroblasts"
1,0.75,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC100419553,LOC105373223,LINC02304,LOC122056888,LOC107987016,KCNJ18,LOC105377176,FAM20A,USP9YP6,LOC105375251,TCFL5,RN7SKP112","Mammary Epithelial Cells"
1,0.75,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC123864083,IGHE,MRPS36P4,PENK-AS1,SECISBP2L","Lymphatic Endothelial Cells"
1,0.75,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC105377623,TRIOBP,LOC105377503,LOC105374016,LOC102724937,SNORD93,GPR36,LSP1P4,ING5,CMTS,LOC100286922,LOC116158507,LOC122756375,LOC642414","Macrophages"
1,0.75,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,TBPL2,MIR4297,NFATC3,PRDM12","Mast Cells"
1,0.75,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,PPM1E,LOC101929326,LOC102723561,MFSD13B,LINC00537,CPXM1","Basal Cells"
1,0.75,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC107986488,LOC110120789,RNU1-36P,UBE2D3P3,LOC105371501,ZEB2P1","Pericytes"
1,0.75,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LYPD2,MIR1304,LOC113788279,FL1,BWQTL4,IGKV3D-11,RNU2-1,MARK2P11,AUTS12,CYP2C60P,DFNB27","Smooth Muscle Cells"
1,0.75,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LINC02966,MDK,CRPPA-AS1,MAN2A1,SPTSSA,IFNA16,SLC25A38P1,LOC105371970,LOC112469009","T Cells"
1,0.75,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,BOD1P2,DISC2,TRAV15,LOC105375202,LOC123956164,LINC02510,SRXY10,TRX-CAT1-1,RBMY1F,NEXN-AS1","Endothelial Cells"
1,1,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC101929863,GNRH1,LOC105372096,GAGE2C,GLC1I,LOC121740679,LINC02102,LOC100507443,LOC105377181,LOC110121172","Adipocytes"
1,1,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,UQCC3,LOC102724960,LOC122965311,HNRNPA3P3,MIR892C","B cells"
1,1,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC123620063,LOC112268451,RN7SKP114,C2orf74-DT,PPARA,CDR2,ASPN,RN7SL841P,PABPC1P7,LOC105376214,LOC122128411,SCFD2,LINC01297,MRPS16P2,TFAMP2,LOC113845780,CDC27P5,H3P38,KRT18P56,LOC110121262,CACNG1,TBC1D10A,PPP2R3A,RNU6-1098P,EML4,RPS2P18,TRV-CAC6-1,CELIAC5","Fibroblasts"
1,1,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,VEZTP1,RETN,RPL23AP91,CYCSP25,LOC121627934,HLX,LOC105369808,GCSHP3,LOC107986486,LOC105374879,RNA5S16,LOC122056776,RRAS2P2,TINF2,CLK3P1,LINC02895,LOC112577490","Mammary Epithelial Cells"
1,1,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,SNAP25,LOC116183062,IGHVII-44-2,WASIR2,GRK2,MIR1301,FXR2","Lymphatic endothelial cells"
1,1,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LCN1P2,LOC105375717,RNU6-975P,LINC02585,LOC105373431,LOC105373014,SNX9-AS1,LOC107985694,LOC112469003,NEFHP1,GPR52,LOC646058,LOC105370274,TRBJ2-3,LOC110120613,BAGE4,FSCN1P1,OSR1,ANKRD6","Macrophages"
1,1,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,RPL31,MRX84,SPOCK3,PPL,LOC105378543,LOC105371698","Mast cells"
1,1,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,LOC107986870,LOC108491824,UBQLNL,BAP1,LOC107984451,WDHD1,PRR23C,LOC110467528","Basal cells of the Epidermis"
1,1,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,ARNILA,RNU6-608P,TRDN,LOC112533644,IL17D,ERVK-29,LOC105376707,LOC120807607","Pericytes"
1,1,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,CYCSP33,LOC110120615,LOC105372068,SNORA110,STK11IP,RPS20P14,LOC112268433,COCH,LOC122756677,RNU6-38P,PRAMEF5,ERVK9-3,LOC112806044,WFDC10A,C19orf12","Smooth muscle cells"
1,1,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,CECR9,HPE8,LOC113939947,LOC112577558,GPX3,OR6C7P,KCNQ1-AS1,LOC100420779,CEP89,LOC121366078,RPL36P4,LOC110121024,LINC01054","T cells"
1,1,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC107522028,IGHV3-66,TUBA3GP,MIR3199-2,MIR335,ERVK3-1,MTND1P25,MTCO1P12,ANIB2,LOC116309148,UCN3,TEX261,LINC02028,LOC105375813","Endothelial cells"
2,0.25,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC105371967,LOC100129144","Adipocytes"
2,0.25,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,C4orf46","B cells"
2,0.25,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC107986202,TNIK,LOC107985536,ERCC6L2-AS1,LOC105376017,OST4,LOC110120918","Fibroblasts"
2,0.25,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,TRDV1,LOC111365145,NIFKP6,LOC110121263","Breast epithelial cells"
2,0.25,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,SLC25A5P5","Lymphatic endothelial cells"
2,0.25,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC101928217,LOC107986444,PSORS10,PA2G4P6","Macrophages"
2,0.25,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,SCGB1C1","Mast cells"
2,0.25,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,RAB13,CLASRP","Basal cells"
2,0.25,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LINC02402,AMD1","Pericytes"
2,0.25,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LOC111365166,GOLGA8J,TRD-GTC2-10","Smooth muscle cells"
2,0.25,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,KCTD10,LOC107987006,LOC122757935","T cells"
2,0.25,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,RNU6-699P,LOC110120930,OR3B1P","Endothelial cells"
2,0.5,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MTND2P12,LOC107984774,LOC123477728,CDC37,LOC113175002","Adipocytes"
2,0.5,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,ARNTL2-AS1,MIR941-2","B cells"
2,0.5,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,MTND4LP30,RFTN1,C19orf12,SDHA,MIR9718,LOC105374513,LOC112267948,LINC02853,NPRL3,LOC110121325,LOC116309161,RN7SL719P,TYROBP,GPR4","Fibroblasts"
2,0.5,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,RN7SKP203,OR2B3,LOC112577452,NDUFA5P1,H2BP2,COX6B2,LOC121627857,MIR4310","Breast epithelial cells"
2,0.5,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC111365183,LOC105374841,CTDSPL","Lymphatic endothelial cells"
2,0.5,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC107985358,LOC110120848,LOC122149333,RNA5SP399,H2AJ,CERS4,NKG7,LOC105373570,ADGRG4","Macrophages"
2,0.5,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,ZNF682,TRGVB,DYZ1L16","Mast cells"
2,0.5,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,PTLS,LOC121852981,MTCO3P16,LOC105374094","Epithelial cells"
2,0.5,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC112268053,HNRNPA1P52,GINS3,SNORD114-7","Smooth muscle cells"
2,0.5,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,PIRC27,SPINK9,TET1P1,GKAP1,DNAJC1,ABCA11P,IL27RA","Myocytes"
2,0.5,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,NDFIP2,RPS15AP21,ZNF107,C9orf57,KCTD9P1,LOC121848002","T-cells"
2,0.5,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,SHCBP1,RN7SKP5,LRRC3-DT,PSAPL1,LOC105375484,LOC107984276,ELOCP6","Endothelial cells"
2,0.75,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC110121144,POLR2G,LIME1,LOC108281147,GNAS,HHIPL1,LOC101059986","Adipocytes"
2,0.75,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,ALG1L12P,H2AW,PPIL4","B cells"
2,0.75,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,MTND2P24,RNU1-27P,KTCN4,RNU6-3P,LOC100124402,RPL23A,ATP5MFP4,LOC124225052,SLC6A9,LOC123881371,MIR6731,BNIPL,MTATP8P3,GAPDHP35,LOC121967061,ADHD6,RN7SL172P,PLAC8L1,SGO1,SGCA,FBXO17","Fibroblasts"
2,0.75,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC116186931,ZFP2,CFL1P3,ACO1,LOC107985475,LOC105375553,LCE5A,LINC00460,TRAJ11,LOC108254694,RNU2-49P,ZRANB3","Epithelial cells"
2,0.75,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,FLJ25758,LOC121967050,CDH12P3,STAT1,TRS-GCT2-1","Lymphatic endothelial cells"
2,0.75,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC100996699,DAB1-AS1,EIF4EBP1,CAMK2A,LOC105377413,ABCD3,LYPD2,RPRD1B,TUBGCP4,PCP2,PPIAP48,LOC112268053,LINC00331,LINC02737","Macrophages"
2,0.75,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,EDIL3,LOC123477778,DQX1,SPINK9","Mast cells"
2,0.75,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,LOC107986412,LDHB,LINC02409,CA2,RN7SKP88,RAB44","Basal cells"
2,0.75,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,TRAJ38,RPL7AP66,B4GALT3,PKP4,RNU6-46P,LOC100419781","Pericytes"
2,0.75,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,UIMC1,TRIM43B,LOC121815952,ERVK-30,MIR3974,MIR4749,RNU6-567P,LOC112939932,GPC5,FCP1,LOC105373430","Smooth muscle cells"
2,0.75,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,CDK5R2,LOC105373258,LOC342443,ARLNC1,HNRNPL,SFXN2,LOC105375673,SEC31A,LOC107986477","T cells"
2,0.75,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,CPHL1P,WDR48,LINC00656,FRA13D,OTUB2,LOC112694716,LOC105374949,LOC123497960,LOC113939968,LOC112533647","Endothelial cells"
2,1,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,PCDHGB8P,LOC116276488,MIR6801,MPP7,LOC112268010,GPR143P,LOC260421,LOC107983980,LOC102724447,TFPI2","Adipocytes"
2,1,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,RN7SL135P,LOC105374063,RAB11FIP1P1,LOC105378790,RN7SKP227","B cells"
2,1,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,VRK3,LOC121056760,COL4A1,FAM182B,LOC105376512,DYZ1L7,EGFLAM,LRRC37A9P,LOC112163607,LOC101928561,IGKV1-12,MKI67,CASP7,LOC108251796,CSE1L-DT,CSN1S2AP,LOC105374834,LINC01945,LOC105377972,LINC02501,GRAMD4P8,LOC105371988,GIMAP1,H3P35,RNU6-399P,LOC110121085,LINC00667,RN7SKP238","Fibroblasts"
2,1,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC729557,CLLS3,CDRT15P12,HCG4P7,KCNG1,LOC105372028,RNA5SP479,LOC105369958,LOC113839504,RUFY4,RPL7AP36,PTMAP10,PGBD4P3,LOC121627839,RPL30-AS1,LOC112268136,LINC02468","Breast cells"
2,1,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC114022708,RNA18SN3,LOC107987120,LIN54,CMD1H,KATNBL1P4,LOC646274","Lymphatic endothelial cells"
2,1,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,PNRC2,RNU6-596P,LOC105379554,MIR8073,ACBD5,RPS15AP11,HMGB1P6,CGB2,LOC123775391,MIR6831,LOC105373175,CLN3,RPS2P3,LOC105379195,MIR6069,LOC105372706,COQ10BP2,PLEKHG4,LOC110386951","Macrophages"
2,1,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,SLC25A11,ZNF347,POLDIP2,RPA3P2,EVA1CP2,LCS1","Mast cells"
2,1,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,ZFYVE1,LOC107985661,VTI1BP3,CHAF1B,ZNF763,MFAP3,CSNK2B,PNPLA3","Basal cells"
2,1,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC110120784,LOC107986669,LOC101927898,RNU4ATAC10P,XAB2,ASMTL,KRT8P11,ZNF433-AS1","Myofibroblasts"
2,1,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,C13orf42,LINC01281,RNA5SP430,LOC122819159,EFCAB10,GRAPLDR,LOC105378577,TMEM138,LINC00628,LOC105375504,RPP38,NDUFAF4P3,LINC02154,NTN3,TEX45","Smooth muscle cells"
2,1,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,NDUFA2,CNTNAP3P2,C4BPAP1,LOC105379130,GPANK1,POLR3C,TRIM28,CYCSP29,RNVU1-33,OR52S1P,LINC00491,LOC122128456,CRYM-AS1","T cells"
2,1,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,BCL2L10,MAP3K13,GAPVD1,LINC00320,LOC105371219,ALDH3A1,LOC121466707,ZNF705B,FMR1-AS1,SMCR6,LOC105372685,LOC116216132,MIR520G,GRIP2","Endothelial cells"
3,0.25,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC101928636,SNORD13D","Adipocytes"
3,0.25,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,PARP4P2","B cells"
