"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement","gpt4mar23_annotation","gpt4mar23_CLname","gpt4mar23_CLID","gpt4mar23_broadtype","gpt4mar23_agreement","gpt3.5aug3_annotation","gpt3.5aug3_CLname","gpt3.5aug3_CLID","gpt3.5aug3_broadtype","gpt3.5aug3_agreement","CellMarker2.0_annotation","CellMarker2.0_CLname","CellMarker2.0_CLID","CellMarker2.0_broadtype","CellMarker2.0_agreement","SingleR_annotation","SingleR_CLname","SingleR_CLID","SingleR_broadtype","SingleR_agreement","ScType_annotation","ScType_CLname","ScType_CLID","ScType_broadtype","ScType_agreement"
"Azimuth","PBMC","CD8B, S100B, CCR7, RGS10, NOSIP, LINC02446, LEF1, CRTAM, CD8A, OXNAD1","CD8+ Naive T","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Naive CD8+ T cells","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","t/nk cell",1,"Cytotoxic T cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Memory CD8 T cell","CD8-positive, alpha-beta memory T cell","CL:0000909","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","MKI67, CD8B, TYMS, TRAC, PCLAF, CD3D, CLSPN, CD3G, TK1, RRM2","CD8+ Proliferating T",NA,NA,"t/nk cell","Proliferating Cytotoxic T Cells",NA,NA,"t/nk cell",0.5,"Proliferating CD8+ T cells",NA,NA,"t/nk cell",0.5,"Proliferating cells",NA,NA,NA,0,"Cycling cell",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","CD8B, ANXA1, CD8A, KRT1, LINC02446, YBX3, IL7R, TRAC, NELL2, LDHB","CD8+ Central Memory T","central memory CD8-positive, alpha-beta T cell","CL:0000907","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Central memory CD8+ T cells","central memory CD8-positive, alpha-beta T cell","CL:0000907","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD8 T cell","CD8-positive, alpha-beta memory T cell","CL:0000909","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","CCL5, GZMH, CD8A, TRAC, KLRD1, NKG7, GZMK, CST7, CD8B, TRGC2","CD8+ Effector Memory T","effector memory CD8-positive, alpha-beta T cell","CL:0000913","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Effector memory CD8+ T cells","effector memory CD8-positive, alpha-beta T cell","CL:0000913","t/nk cell",1,"Cytotoxic T cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Effector memory CD8 T cell","effector memory CD8-positive, alpha-beta T cell","CL:0000913","t/nk cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","PPP1R14A, LILRA4, AXL, IL3RA, SCT, SCN9A, LGMN, DNASE1L3, CLEC4C, GAS6","AXL+ Dendritic Cell",NA,NA,"dendritic cell","Plasmacytoid Dendritic Cells","plasmacytoid dendritic cell","CL:0000784","dendritic cell",0.5,"Plasmacytoid Dendritic Cells (pDCs)","plasmacytoid dendritic cell","CL:0000784","dendritic cell",0.5,"Myeloid cells","myeloid cell","CL:0000763","myeloid cell",0,"Plasmacytoid dendritic cell(pDC)","plasmacytoid dendritic cell","CL:0000784","dendritic cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","CLEC9A, DNASE1L3, C1orf54, IDO1, CLNK, CADM1, FLT3, ENPP1, XCR1, NDRG2","Conventional Dendritic Cell 1","conventional dendritic cell","CL:0000990","dendritic cell","Conventional Dendritic Cells","conventional dendritic cell","CL:0000990","dendritic cell",1,"Conventional Dendritic Cells type 1 (cDC1s)","conventional dendritic cell","CL:0000990","dendritic cell",1,"Dendritic cells","dendritic cell","CL:0000451","dendritic cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","FCER1A, HLA-DQA1, CLEC10A, CD1C, ENHO, PLD4, GSN, SLC38A1, NDRG2, AFF3","Conventional Dendritic Cell 2","conventional dendritic cell","CL:0000990","dendritic cell","Myeloid Dendritic Cells","myeloid dendritic cell","CL:0000782","dendritic cell",0.5,"Conventional Dendritic Cells type 2 (cDC2s)","conventional dendritic cell","CL:0000990","dendritic cell",1,"Dendritic cells","dendritic cell","CL:0000451","dendritic cell",0.5,"Mature dendritic cell",NA,NA,"dendritic cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","ITM2C, PLD4, SERPINF1, LILRA4, IL3RA, TPM2, MZB1, SPIB, IRF4, SMPD3","Plasmacytoid Dendritic Cell","plasmacytoid dendritic cell","CL:0000784","dendritic cell","B Cells/Plasma Cells","plasma cell","CL:0000786","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"Myeloid cells","myeloid cell","CL:0000763","myeloid cell",0,"Dividing plasma B cell",NA,NA,"b cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","S100A9, CTSS, S100A8, LYZ, VCAN, S100A12, IL1B, CD14, G0S2, FCN1","CD14+ Monocyte","CD14-positive monocyte","CL:0001054","macrophage/monocyte","Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"CD14 monocyte","CD14-positive monocyte","CL:0001054","macrophage/monocyte",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","CDKN1C, FCGR3A, PTPRC, LST1, IER5, MS4A7, RHOC, IFITM3, AIF1, HES4","CD16+ Monocyte",NA,NA,"macrophage/monocyte","NK Cells/Monocytes","natural killer cell,monocyte","CL:0000623,CL:0000576","t/nk cell,macrophage/monocyte",0.5,"Classical Monocytes","classical monocyte","CL:0000860","macrophage/monocyte",0.5,"Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"CD16 monocyte",NA,NA,"macrophage/monocyte",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","GNLY, TYROBP, NKG7, FCER1G, GZMB, TRDC, PRF1, FGFBP2, SPON2, KLRF1","CD56-dim Natural Killer","CD16-positive, CD56-dim natural killer cell, human","CL:0000939","t/nk cell","NK Cells","natural killer cell","CL:0000623","t/nk cell",0.5,"Natural Killer (NK) cells","natural killer cell","CL:0000623","t/nk cell",0.5,"Natural killer cells","natural killer cell","CL:0000623","t/nk cell",0.5,"Cytotoxic CD4+ T2 cell","CD4-positive, alpha-beta cytotoxic T cell","CL:0000934","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","MKI67, KLRF1, TYMS, TRDC, TOP2A, FCER1G, PCLAF, CD247, CLSPN, ASPM","Proliferating Natural Killer",NA,NA,"t/nk cell","Activative Cytotoxic T Cells",NA,NA,"t/nk cell",0.5,"Activated NK cells",NA,NA,"t/nk cell",0.5,"Proliferating NK cells",NA,NA,"t/nk cell",0.5,"Cycling cell",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","XCL2, FCER1G, SPINK2, TRDC, KLRC1, XCL1, SPTSSB, PPP1R9A, NCAM1, TNFRSF11A","CD56-bright Natural Killer","CD16-negative, CD56-bright natural killer cell, human","CL:0000938","t/nk cell","NK Cells","natural killer cell","CL:0000623","t/nk cell",0.5,"NK T cells",NA,NA,"t/nk cell",0.5,"NK cells","natural killer cell","CL:0000623","t/nk cell",0.5,"Natural killer cell","natural killer cell","CL:0000623","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","HBD, HBM, AHSP, ALAS2, CA1, SLC4A1, IFIT1B, TRIM58, SELENBP1, TMCC2","Erythroid cell","erythroid lineage cell","CL:0000764","erythroid cell","Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0.5,"Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0.5,"Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0.5,"Immature erythroid cell",NA,NA,"erythroid cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","SPINK2, PRSS57, CYTL1, EGFL7, GATA2, CD34, SMIM24, AVP, MYB, LAPTM4B","Hematopoietic stem and progenitor cell","hematopoietic stem cell","CL:0000037","stem cell","Haematopoietic Stem Cells","hematopoietic stem cell","CL:0000037","stem cell",1,"Hematopoietic Stem and Progenitor Cells (HSPCs)","hematopoietic stem cell","CL:0000037","stem cell",1,"Hematopoietic progenitors","hematopoietic multipotent progenitor cell","CL:0000837","progenitor cell",0,"Hematopoietic progenitor cell","hematopoietic multipotent progenitor cell","CL:0000837","progenitor cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","KIT, TRDC, TTLL10, LINC01229, SOX4, KLRB1, TNFRSF18, TNFRSF4, IL1R1, HPGDS","Innate Lymphoid Cell","innate lymphoid cell","CL:0001065","innate lymphoid cell","CD4+ T Cells","CD4-positive, alpha-beta T cell","CL:0000624","t/nk cell",0.5,"Mast Cells","mast cell","CL:0000097","granulocyte",0.5,"Hematopoietic progenitors","hematopoietic multipotent progenitor cell","CL:0000837","progenitor cell",0,"Hematopoietic stem cell","hematopoietic stem cell","CL:0000037","stem cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","PPBP, PF4, NRGN, GNG11, CAVIN2, TUBB1, CLU, HIST1H2AC, RGS18, GP9","Platelet","platelet","CL:0000233","platelet","Platelets","platelet","CL:0000233","platelet",1,"Platelets","platelet","CL:0000233","platelet",1,"Platelets","platelet","CL:0000233","platelet",1,"Patelet","platelet","CL:0000233","platelet",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","PTPN3, MIR4422HG, NUCB2, CAV1, DTHD1, GZMA, MYB, FXYD2, GZMK, AC004585.1","Double-negative T","double negative thymocyte","CL:0002489","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Cytotoxic T cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Myeloid cells","myeloid cell","CL:0000763","myeloid cell",0,"Effector memory CD8 T cell","effector memory CD8-positive, alpha-beta T cell","CL:0000913","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","TRDC, TRGC1, TRGC2, KLRC1, NKG7, TRDV2, CD7, TRGV9, KLRD1, KLRG1","gamma-delta T","gamma-delta T cell","CL:0000798","t/nk cell","Gamma Delta T cells","gamma-delta T cell","CL:0000798","t/nk cell",1,"Natural Killer T (NKT) cells",NA,NA,"t/nk cell",0.5,"T cells","T cell","CL:0000084","t/nk cell",0.5,"Gamma delta(γδ) T cell","gamma-delta T cell","CL:0000798","t/nk cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","PBMC","KLRB1, NKG7, GZMK, IL7R, SLC4A10, GZMA, CXCR6, PRSS35, RBM24, NCR3","Mucosal associated invariant T","mucosal invariant T cell","CL:0000940","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Cytotoxic CD8+ T cells","CD8-positive, alpha-beta cytotoxic T cell","CL:0000794","t/nk cell",0.5,"NK cells","natural killer cell","CL:0000623","t/nk cell",0.5,"Effector memory CD8 T cell","effector memory CD8-positive, alpha-beta T cell","CL:0000913","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","SLC1A2, ADGRV1, SLC1A3, GPC5, RNF219.AS1, ARHGAP24, CST3, HPSE2, AQP4, COL5A3","Astrocyte","astrocyte","CL:0000127","astrocyte","Astrocytes","astrocyte","CL:0000127","astrocyte",1,"Astrocytes","astrocyte","CL:0000127","astrocyte",1,"Astrocytes","astrocyte","CL:0000127","astrocyte",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","EBF1, ABCG2, CLDN5, FLI1, LEF1, EMCN, IFI27, HLA.E, ADGRL4, CLEC3B","Endothelial cell","endothelial cell","CL:0000115","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","CBLN2, EPHA6, LAMA2, CNTN5, PDZD2, CUX2, RASGRF2, FAM19A1, LINC01378, CA10","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting","L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex","CL:4023047","neuron","Excitatory neurons",NA,NA,"neuron",0.5,"Excitatory neurons (specifically pyramidal neurons)","pyramidal neuron","CL:0000598","neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","COL5A2, FAM19A1, VAT1L, COL24A1, CBLN2, NRP1, PTCHD1.AS, NRG1, HOMER1, SLC35F3","Layer 5 glutamatergic neuron, extratelencephalon-projecting","L5 extratelencephalic projecting glutamatergic cortical neuron","CL:4023041","neuron","Mixed cell types (Excitatory neurons, Inhibitory neurons)",NA,NA,"neuron",0.5,"Excitatory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","FSTL4, CNTN5, RORB, FSTL5, IL1RAPL2, CHN2, TOX, CPNE4, CADPS2, POU6F2","Layer 5 glutamatergic neuron, intratelencephalon-projecting","L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex","CL:4023049","neuron","Inhibitory neurons",NA,NA,"neuron",0.5,"Excitatory neurons (specifically pyramidal neurons)","pyramidal neuron","CL:0000598","neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","TSHZ2, NPSR1.AS1, HTR2C, ITGA8, ZNF385D, ASIC2, CDH6, CRYM, NXPH2, CPNE4","Layer 5-6 glutamatergic neuron, near-projecting","L5/6 near-projecting glutamatergic neuron of the primary motor cortex","CL:4023043","neuron","Mixed cell types (Inhibitory neurons, Excitatory neurons)",NA,NA,"neuron",0.5,"Excitatory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","ADAMTSL1, KIAA1217, SORCS1, HS3ST4, TRPM3, TOX, SEMA3E, EGFEM1P, MEIS2, SEMA5A","Layer 6 glutamatergic neuron, corticothalamic-projecting","L6 corticothalamic-projecting glutamatergic cortical neuron","CL:4023042","neuron","Mixed cell types (Excitatory Neurons, Inhibitory Neurons)",NA,NA,"neuron",0.5,"Excitatory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"Frontal cortex cell",NA,NA,"brain cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","PTPRK, PDZRN4, CDH9, THEMIS, FSTL5, CDH13, CDH12, CBLN2, LY86.AS1, MLIP","Layer 6 glutamatergic neuron, intratelencephalon-projecting","L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex","CL:4023050","neuron","Mixed cell types (Excitatory neurons, Inhibitory neurons)",NA,NA,"neuron",0.5,"Excitatory neurons (specifically pyramidal neurons)","pyramidal neuron","CL:0000598","neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","THEMIS, RNF152, NTNG2, STK32B, KCNMB2, GAS2L3, OLFML2B, POSTN, B3GAT2, NR4A2","Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",NA,NA,"neuron","Mixed cell types (Inhibitory neurons, Astrocytes)","NA,astrocyte","NA,CL:0000127","neuron,astrocyte",0.5,"Excitatory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","HS3ST4, KCNMB2, MDFIC, C10orf11, NTM, CDH9, MARCH1, TLE4, FOXP2, KIAA1217","Layer 6b glutamatergic neuron","L6b glutamatergic cortical neuron","CL:4023038","neuron","Mixed cell types (Excitatory neurons, Inhibitory neurons)",NA,NA,"neuron",0.5,"Excitatory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","FGF13, PTPRT, PRELID2, GRIA4, RELN, PTCHD4, EYA4, MYO16, FBXL7, LAMP5","Lamp5+ GABAergic neuron","lamp5 GABAergic cortical interneuron","CL:4023011","neuron","Excitatory neurons",NA,NA,"neuron",0.5,"Inhibitory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","DOCK8, P2RY12, APBB1IP, FYB, PTPRC, TBXAS1, CX3CR1, BLNK, SLCO2B1, CSF1R","microglia / perivascular macrophage","microglial cell,perivascular macrophage","CL:0000129,CL:0000881","microglia,macrophage/monocyte","Microglial cells","microglial cell","CL:0000129","microglia",0.5,"Microglia","microglial cell","CL:0000129","microglia",0.5,"Microglia","microglial cell","CL:0000129","microglia",0.5,"M1 microglial cell",NA,NA,"microglia",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","PLP1, ST18, CTNNA3, MBP, MOBP, RNF220, NCKAP5, ENPP2, QKI, SLC44A1","oligodendrocyte","oligodendrocyte","CL:0000128","oligodendrocyte","Oligodendrocytes","oligodendrocyte","CL:0000128","oligodendrocyte",1,"Oligodendrocytes","oligodendrocyte","CL:0000128","oligodendrocyte",1,"Oligodendrocytes","oligodendrocyte","CL:0000128","oligodendrocyte",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","VCAN, PDGFRA, OLIG1, SMOC1, COL9A1, STK32A, BCAS1, FERMT1, BCHE, ZCCHC24","oligodendrocyte precursor cell","oligodendrocyte precursor cell","CL:0002453","progenitor cell","Oligodendrocyte precursor cells","oligodendrocyte precursor cell","CL:0002453","progenitor cell",1,"Oligodendrocyte precursor cells (OPCs)","oligodendrocyte precursor cell","CL:0002453","progenitor cell",1,"Oligodendrocyte precursor cells","oligodendrocyte precursor cell","CL:0002453","progenitor cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","ADAMTS17, ERBB4, DPP10, ZNF804A, MYO16, BTBD11, GRIA4, SLIT2, SDK1, PVALB","Pvalb+ GABAergic neuron","pvalb GABAergic cortical interneuron","CL:4023018","neuron","Inhibitory neurons",NA,NA,"neuron",0.5,"Inhibitory neurons (specifically Parvalbumin-positive interneurons)",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","CNR1, SLC8A1, ASIC2, CXCL14, MAML3, ADARB2, NPAS3, CNTN5, FSTL5, SNCG","Sncg+ GABAergic neuron","sncg GABAergic cortical interneuron","CL:4023015","neuron","Inhibitory neurons",NA,NA,"neuron",0.5,"Excitatory neurons",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","GRIK1, RALYL, SST, TRHDE, GRID2, NXPH1, COL25A1, SLC8A1, SOX6, ST6GALNAC5","Sst+ GABAergic neuron","sst GABAergic cortical interneuron","CL:4023017","neuron","Inhibitory neurons",NA,NA,"neuron",0.5,"Inhibitory neurons (specifically Somatostatin-positive interneurons)",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Motor Cortex","NPY, FAM46A, STAC, OTOF, NPY2R, CRHBP, ANKRD34B, NOS1, SST, CHODL","Sst+ Chodl+ GABAergic neuron","sst chodl GABAergic cortical interneuron","CL:4023121","neuron","Inhibitory neurons",NA,NA,"neuron",0.5,"Inhibitory neurons (specifically Neuropeptide Y-positive interneurons)",NA,NA,"neuron",0.5,"Neurons","neuron","CL:0000540","neuron",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
