"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
"HCL_top10",NA,"HLA-DRA, CD74, HLA-DPA1, HLA-DPB1, HLA-DRB1, CST3, HLA-DQA1, HLA-DQB1, TMSB4X, TMSB10","Dendritic cell","dendritic cell","CL:0000451","dendritic cell","Dendritic Cells","dendritic cell","CL:0000451","dendritic cell",1
"HCL_top10",NA,"DEFB1, CD24, WFDC2, SPP1, CYSTM1, IGFBP7, CLDN4, LDHB, GDF15, ATP1A1","Loop of Henle","kidney loop of Henle epithelial cell","CL:1000909","epithelial cell","Fallopian Tube Cells",NA,NA,"fallopian tube cell",0
"HCL_top10",NA,"AHSP, HBG2, HBM, HBA1, HBA2, GYPA, ALAS2, HBG1, GYPB, PRDX2","Erythroid cell","erythroid lineage cell","CL:0000764","erythroid cell","Erythroblasts","erythroblast","CL:0000765","erythroid cell",0.5
"HCL_top10",NA,"DCN, LUM, MGP, C1S, SERPING1, CFD, GPX3, ADH1B, C1R, EFEMP1","Stromal cell","stromal cell","CL:0000499","stromal cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0.5
"HCL_top10",NA,"PLP1, TUBB4A, ERMN, QKI, CLDN11, CNP, MAG, EDIL3, PTGDS, TF","Oligodendrocyte","oligodendrocyte","CL:0000128","oligodendrocyte","Oligodendrocytes","oligodendrocyte","CL:0000128","oligodendrocyte",1
"HCL_top10",NA,"TM4SF1, ICAM1, CD93, PLPP3, EMP1, ADAMTS9, PCAT19, IFI27, PNP, ATP1A1","Endothelial cell","endothelial cell","CL:0000115","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1
"HCL_top10",NA,"SFTPB, SFTPC, SLC34A2, SFTPA2, SFTPA1, NPC2, NAPSA, MUC1, CTSH, SFTPD","AT2 cell","type II pneumocyte","CL:0002063","epithelial cell","Type II Pneumocytes","type II pneumocyte","CL:0002063","epithelial cell",1
"HCL_top10",NA,"TG, TFF3, PCP4, GPX3, CRYAB, CD24, CTSB, TPO, CLU, IYD","Thyroid follicular cell","thyroid follicular cell","CL:0002258","epithelial cell","Thyroid cells",NA,NA,"thyroid cell",0
"HCL_top10",NA,"MT2A, CRYAB, GEM, SOD2, EEF1A1, EIF1, MAT2A, CXCL8, EMP1, RPS27","Smooth muscle cell","smooth muscle cell","CL:0000192","muscle cell","Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",0.5
"HCL_top10",NA,"CD74, HLA-DRA, HLA-DRB1, CD52, MS4A1, HLA-DPB1, CD79A, HLA-DPA1, CXCR4, HLA-DQB1","B cell","B cell","CL:0000236","b cell","B cells","B cell","CL:0000236","b cell",1
"HCL_top10",NA,"PLA2G2A, ADIRF, TM4SF1, HP, TMSB4X, TIMP1, SERPING1, EEF1A1, EFEMP1, S100A10","Epithelial cell","epithelial cell","CL:0000066","epithelial cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0
"HCL_top10",NA,"PHGR1, ANPEP, FABP1, ALDOB, FABP2, ADIRF, RBP2, SI, EPCAM, PCK1","Enterocyte","enterocyte","CL:0000584","epithelial cell","Enterocytes","enterocyte","CL:0000584","epithelial cell",1
"HCL_top10",NA,"RPS14, RPS29, RPS18, RPS6, RPS27, RPLP1, RPL31, RPL34, RPS19, RPL27A","Neutrophil (RPS high)","neutrophil","CL:0000775","granulocyte","Ribosomes",NA,NA,NA,0
"HCL_top10",NA,"RPS27, RPS29, CSTA, RPL21, RPL30, RPL34, LST1, CTSS, TYROBP, RPL31","Antigen presenting cell (RPS high)","professional antigen presenting cell","CL:0000145","antigen presenting cell","Myeloid cells","myeloid cell","CL:0000763","myeloid cell",0
"HCL_top10",NA,"MATN1, MIA, C2orf82, EPYC, HAPLN1, LECT1, S100B, COL2A1, SEC61G, MATN3","Fetal chondrocyte","chondrocyte","CL:0000138","stromal cell","Chondrocytes","chondrocyte","CL:0000138","stromal cell",1
"HCL_top10",NA,"CPA2, CELA3A, SPINK1, SERPINA3, PRSS2, PRSS1, REG3G, PLA2G1B, REG1A, REG1B","Pancreas exocrine cell","pancreas exocrine glandular cell","CL:1001599","epithelial cell","Pancreatic acinar cells","pancreatic acinar cell","CL:0002064","epithelial cell",0.5
"HCL_top10",NA,"SRGN, AZU1, MPO, MS4A3, RNASE2, ELANE, DEFA4, CTSG, PRTN3, ARHGDIB","Neutrophil","neutrophil","CL:0000775","granulocyte","Neutrophils","neutrophil","CL:0000775","granulocyte",1
"HCL_top10",NA,"FTL, CD74, HLA-DRA, CTSD, C1QB, FTH1, C1QA, GRN, HLA-DPA1, APOC1","M2 Macrophage","alternatively activated macrophage","CL:0000890","macrophage/monocyte","Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5
"HCL_top10",NA,"PGC, PGA5, LIPF, PGA3, CYSTM1, MT1G, CXCL17, MT1E, MUC1, AZGP1","Gastric chief cell","peptic cell","CL:0000155","epithelial cell","Gastric chief cells","peptic cell","CL:0000155","epithelial cell",1
"HCL_top10",NA,"CD1B, RP11-144L1.4, CD1E, KIAA0101, NDUFB3, TRDC, GMFG, RP11-620J15.3, FABP5, CBX3","Proliferating T cell",NA,NA,"t/nk cell","T lymphocytes or Dendritic cells","T cell,dendritic cell","CL:0000084,CL:0000451","t/nk cell,dendritic cell",0.5
"HCL_top10",NA,"AGR2, CYSTM1, LYZ, MUC1, TFF2, TPT1, PSCA, ANXA10, CLDN18, MUC6","Goblet cell","goblet cell","CL:0000160","epithelial cell","Gastric Mucosa Cells","surface mucosal cell of stomach","CL:0002182","epithelial cell",0.5
"HCL_top10",NA,"ATP6V1G3, TMEM213, RTN4, ATP6AP2, ATP6V0D2, CA12, NDUFA4, CYSTM1, FXYD2, LITAF","Intercalated cell","renal intercalated cell","CL:0005010","epithelial cell","Kidney Tubular Cells","kidney tubule cell","CL:1000507","epithelial cell",0.5
"HCL_top10",NA,"WFDC2, PIGR, SLPI, AZGP1, TACSTD2, CXCL17, KRT7, CLDN4, KRT19, CD24","Stratified epithelial cell","stratified epithelial cell","CL:0000079","epithelial cell","Mammary Gland Epithelial Cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
"HCL_top10",NA,"S100P, S100A6, RPS27, S100A11, RPL31, RPL34, SPINK1, RPS6, B2M, ADIRF","Epithelial cell (intermediated)","epithelial cell","CL:0000066","epithelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",1
"HCL_top10",NA,"FCN3, CCL5, HLA-B, MYL12A, CRHBP, IFITM2, IFITM3, MS4A6A, S100A4, HLA-C","Sinusoidal endothelial cell","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell","NK Cells","natural killer cell","CL:0000623","t/nk cell",0
"HCL_top10",NA,"RPS6, RPS19, RPS18, RPS4X, RPS3A, RPS14, RPS23, RPL11, RPS16, RPS3","Primordial germ cell","primordial germ cell","CL:0000670","germ cell","Ribosomes",NA,NA,NA,0
"HCL_top10",NA,"RPS9, RPL36A, GAS5, BTF3, NPM1, SNHG5, ZFAS1, STMN1, SLC25A6, RPS3A","Fetal skeletal muscle cell","cell of skeletal muscle","CL:0000188","muscle cell","Ribosomes",NA,NA,NA,0
"HCL_top10",NA,"EPAS1, LUM, FN1, DCN, HLA-B, SPARCL1, HLA-E, SPARC, CAV1, IFITM3","Endothelial cell (endothelial to mesenchymal transition)","valve endothelial cell","CL:4030033","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
"HCL_top10",NA,"S100A2, KRT5, SFN, KRT17, AQP3, SERPINB5, KRT15, KRT6A, KRT14, FGFBP1","Basal cell","basal cell","CL:0000646","stem cell","Epidermal Cells","epidermal cell","CL:0000362","epithelial cell",0
"HCL_top10",NA,"GPM6A, MT3, C1orf61, SLC1A3, CLU, CKB, ATP1A2, SPARCL1, ALDOC, SCD5","Astrocyte","astrocyte","CL:0000127","astrocyte","Astrocytes","astrocyte","CL:0000127","astrocyte",1
"HCL_top10",NA,"SPINK1, DLK1, RBPJ, MEG3, CPA2, RBP1, HNRNPA1, XIST, CD24, SERPINA1","Fetal acinar cell","acinar cell","CL:0000622","epithelial cell","Pancreatic Cells",NA,NA,"pancreatic cell",0
"HCL_top10",NA,"MYL7, ACTC1, TNNT2, MYL2, MYL3, TPM1, TNNC1, PLN, CSRP3, TNNI3","Ventricle cardiomyocyte","ventricular cardiac muscle cell","CL:2000046","muscle cell","Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",0.5
"HCL_top10",NA,"ITLN1, SLPI, HP, PRG4, ADIRF, TPT1, CPB1, TIMP1, C3, MT1E","Mesothelial cell","mesothelial cell","CL:0000077","epithelial cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",0.5
"HCL_top10",NA,"DEFB1, LDHB, FXYD2, CD24, POU3F3, ITM2C, SLC12A1, BEX3, COX7B, WFDC2","Ureteric bud cell",NA,NA,"ureteric bud cell","Proximal tubular cells","epithelial cell of proximal tubule","CL:0002306","epithelial cell",0
"HCL_top10",NA,"AFP, FTL, LDHB, GPX3, SMIM24, CUBN, ATPIF1, HSPA5, RIDA, APOM","Proximal tubule progenitor",NA,NA,"progenitor cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",0
"HCL_top10",NA,"KLK3, AZGP1, MSMB, SAT1, PLPP1, DHRS7, TACSTD2, TSPAN1, KLK2, KRT18","Gastric endocrine cell","enteroendocrine cell","CL:0000164","secretory cell","Prostate epithelial cells","epithelial cell of prostate","CL:0002231","epithelial cell",0
"HCL_top10",NA,"TPSB2, CPA3, TPSAB1, SRGN, RGS2, RGS1, NFKBIA, GLUL, VIM, ANXA1","Mast cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
"HCL_top10",NA,"GLIPR1L1, KRT18, SLIRP, GAL, OCIAD2, ATP5G3, UCHL1, PRDX4, MIR302B, RPS2P46","hESC","embryonic stem cell","CL:0002322","stem cell","Ovarian stroma cells",NA,NA,"stromal cell",0
"HCL_top10",NA,"CHGA, TTR, ALDH1A1, ERO1B, CPE, SCG5, BEX1, EPCAM, SCGN, HDC","Fetal endocrine cell","endocrine cell","CL:0000163","secretory cell","Endocrine Cells","endocrine cell","CL:0000163","secretory cell",1
"HCL_top10",NA,"MIR202HG, BEX1, ZFAND5, RNASE1, COL1A2, APOA1, AMH, SERPINA5, FSCN1, GSTA1","Immature sertoli cell (Pre-Sertoli cell)",NA,NA,"epithelial cell","Granulosa cells","granulosa cell","CL:0000501","epithelial cell",0.5
"HCL_top10",NA,"CCL5, CYP17A1, BTG1, CXCR4, GZMB, HLA-C, SRGN, CST7, CREM, ARHGDIB","Myeloid cell","myeloid cell","CL:0000763","myeloid cell","T cells","T cell","CL:0000084","t/nk cell",0
"HCL_top10",NA,"S100B, GPM6B, PLP1, ANXA2, TUBA1A, STMN1, SPARC, CRABP1, TUBA1B, VIM","Fetal Neuron","neuron","CL:0000540","neuron","Astrocytes","astrocyte","CL:0000127","astrocyte",0
"HCL_top10",NA,"FN1, MT2A, HAPLN1, C2orf40, CYTL1, ACAN, CTGF, SCRG1, SOD2, A2M","Chondrocyte","chondrocyte","CL:0000138","stromal cell","Chondrocytes","chondrocyte","CL:0000138","stromal cell",1
"HCL_top10",NA,"ACP5, SPP1, MMP9, CTSK, CST3, CSTB, COX7B, RGS10, S100A4, ATP6V1G1","Kidney intercalated cell","kidney connecting tubule intercalated cell","CL:4030019","epithelial cell","Osteoclasts","osteoblast","CL:0000062","osteoblast",0
"HCL_top10",NA,"THRSP, FABP4, RBP4, G0S2, CHCHD10, DGAT2, COX5B, RPLP2, COX4I1, UQCRQ","Adrenal gland inflammatory cell","adrenal gland glandular cell","CL:1001601","epithelial cell","Adipocytes","fat cell","CL:0000136","fat cell",0
"HCL_top20",NA,"BEX3, STMN1, HNRNPA1, SOX4, LDHB, SKP1, SNRPE, HMGB1, RPL10A, ID3, SRP9, GSTP1, SRP14, CKS2, ITM2C, H2AFZ, NPM1, SON, HSP90AB1, GAPDH","Fetal epithelial progenitor",NA,NA,"progenitor cell","Neuronal Cells (mostly)","neuron","CL:0000540","neuron",0
"HCL_top20",NA,"CTSB, FTL, C1QB, LAPTM5, TYROBP, PSAP, C1QA, HLA-DRA, CTSD, NPC2, FCER1G, CD74, HLA-DRB1, CCL3, FTH1, CTSS, CD163, GPNMB, SRGN, CXCL8","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Monocytes/Macrophages or Dendritic Cells","monocyte,macrophage,dendritic cell","CL:0000576,CL:0000235,CL:0000451","macrophage/monocyte,dendritic cell",0.5
"HCL_top20",NA,"JCHAIN, IGHA1, SSR4, MZB1, IGKC, IGHA2, HERPUD1, DERL3, SEC11C, FKBP11, FKBP2, RGS1, IGLC2, CD79A, ISG20, IGLC3, TNFRSF17, HSP90B1, TSC22D3, JUN","B cell (Plasmocyte)","plasma cell","CL:0000786","b cell","Plasma Cells","plasma cell","CL:0000786","b cell",1
"HCL_top20",NA,"C1S, TIMP2, COL6A3, SEMA3C, MMP2, GSN, IGFBP6, MFAP4, COL6A1, PLAC9, CYBRD1, PODN, CCDC80, TGFBR2, GPNMB, SCARA5, TSC22D3, GLUL, SERPINF1, FSTL1","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
"HCL_top20",NA,"PEBP1, MRPL33, STAR, RARRES2, CLU, CYP21A2, CYP17A1, AKR1B1, NOV, TPD52L1, EPHX1, SERPINA5, MGST1, CYSTM1, HSD3B2, CYP11B1, CHCHD2, BST2, FDX1, BEX3","Fasciculata cell","type II cell of adrenal cortex","CL:0002136","epithelial cell","Adrenal cells",NA,NA,"adrenal gland cell",0
"HCL_top20",NA,"TRAC, CD3D, TRBC1, LTB, CD52, TRBC2, PABPC1, RP11-543P15.1, CALM1, IL2RG, SH3BGRL3, CXCR4, GMFG, IL32, CREM, EEF1D, LDHB, SNHG5, HLA-C, ARHGDIB","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
"HCL_top20",NA,"MDK, LGALS1, STMN1, DCN, COL1A2, BEX3, COL1A1, COL3A1, NREP, TUBB, HNRNPA1, RPL10A, NPM1, HMGB1, RPS2, RPL10P9, RPS7, LUM, RBP1, RPL28","Fetal mesenchymal progenitor","mesenchymal cell","CL:0008019","mesenchymal cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0
"HCL_top20",NA,"IFI27, TM4SF1, HLA-B, HLA-E, A2M, SOCS3, IGFBP7, SPARCL1, IFITM2, IFITM3, TGFBR2, EPAS1, GNG11, ITM2B, AQP1, PECAM1, HES1, ZFP36, RNASE1, HLA-A","Endothelial cell (APC)","endothelial cell","CL:0000115","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",1
"HCL_top20",NA,"LGALS4, PIGR, FXYD3, PHGR1, C15orf48, KRT19, TSPAN8, KRT8, EPCAM, LGALS3, GPX2, FABP1, MTCO1P12, KRT18, ELF3, FAM3D, PLA2G2A, CLDN3, CKB, CLDN4","Enterocyte progenitor",NA,NA,"progenitor cell","Epithelial Cells (Intestine or Liver)","intestinal epithelial cell","CL:0002563","epithelial cell",0
"HCL_top20",NA,"COL5A1, MEST, DLK1, OGN, LUM, POSTN, COL5A2, FSTL1, ISLR, GPC3, COL3A1, PLAC9, RPS9, NPM1, ITM2C, ITM2A, LAPTM4A, IFITM3, MAGED2, LAMA4","Fetal stromal cell","stromal cell","CL:0000499","stromal cell","Fibroblasts/Mesenchymal stem cells","fibroblast,mesenchymal stem cell","CL:0000057,CL:0000134","fibroblast,stem cell",0.5
"HCL_top20",NA,"MLLT11, GPM6A, TMSB15A, UCHL1, NREP, TUBB2B, POU3F3, HN1, NNAT, FABP7, TUBB, HMGB1, GAP43, STMN2, SUMO2, NEUROD6, BEX1, SRP9, C1orf61, TUBA1A","Fetal neuron","neuron","CL:0000540","neuron","Neurons","neuron","CL:0000540","neuron",1
"HCL_top20",NA,"RPS23, RPS3, RPS27A, RPS6, RPS3A, UROD, AHSP, BLVRB, RPS14, RPS17, RPL34, PRDX2, RPL10, HMGA1, RPL26, KIAA0101, RPL27A, TUBA1B, RPL19, RPL31","Erythroid progenitor cell (RP high)","erythroid progenitor cell","CL:0000038","progenitor cell","Ribosomal Cells",NA,NA,NA,0
"HCL_top20",NA,"FCER1G, AIF1, FCN1, CTSS, LST1, TYROBP, LYZ, CD52, LAPTM5, OAZ1, SH3BGRL3, CSTA, PSAP, ARHGDIB, S100A12, VIM, SOD2, COTL1, CST3, BCL2A1","Monocyte","monocyte","CL:0000576","macrophage/monocyte","Monocytes/Macrophages or Dendritic Cells","monocyte,macrophage,dendritic cell","CL:0000576,CL:0000235,CL:0000451","macrophage/monocyte,dendritic cell",0.5
"HCL_top20",NA,"AGR2, MT1G, TSPAN8, MT1H, MT1E, FABP1, AGR3, LGALS2, GSTA1, SPINK1, KRT18, KRT8, S100A10, EPCAM, SNHG8, CCL25, AFP, MT1F, TXN, CPS1","Fetal enterocyte","enterocyte","CL:0000584","epithelial cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",0.5
"HCL_top20",NA,"RBP2, TTR, APOA1, GSTA1, FABP1, FABP2, SERPINA1, FTL, SMIM24, APOC3, SEPP1, LGALS2, S100A14, OAT, MTTP, SMLR1, CTSA, AFP, ANXA13, MUC13","Hepatocyte/Endodermal cell","hepatocyte,endodermal cell","CL:0000182,CL:0000223","epithelial cell,embryonic cell","Liver Cells",NA,NA,"liver cell",0
"HCL_top20",NA,"FOS, RPL34, RPL31, RPS18, RPS14, RPL7, TMSB10, RPS27A, RPS3A, RPL35A, RPL32, RPS19, BEX3, RPS23, RPS27, RPS6, RPL5, RPL11, RPL21, RPS3","Fetal fibroblast","fibroblast","CL:0000057","fibroblast","Ribosomal Cells",NA,NA,NA,0
"HCL_top20",NA,"TMSB4X, A2M, GNG11, TMSB10, B2M, IFITM3, RAMP2, COL4A1, PRCP, TM4SF1, ESAM, CAV1, CDH5, CD34, PLVAP, ANXA2, SDPR, PECAM1, EMCN, MYL12A","Endothelial cell","endothelial cell","CL:0000115","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",1
"HCL_top20",NA,"HLA-DRA, CD74, HLA-DPA1, HLA-DPB1, HLA-DRB1, CST3, HLA-DQA1, HLA-DQB1, TMSB4X, TMSB10, AIF1, GPR183, FCER1G, LYZ, SRGN, RGS1, SAT1, TYROBP, HLA-DMA, RGS2","Dendritic cell","dendritic cell","CL:0000451","dendritic cell","Antigen-presenting cells","professional antigen presenting cell","CL:0000145","antigen presenting cell",0.5
"HCL_top20",NA,"DEFB1, CD24, WFDC2, SPP1, CYSTM1, IGFBP7, CLDN4, LDHB, GDF15, ATP1A1, ITM2B, FXYD2, S100A2, S100A6, MAL, ATP6V0E1, MMP7, CYB5A, ATP1B1, NDUFA4","Loop of Henle","kidney loop of Henle epithelial cell","CL:1000909","epithelial cell","Epithelial Cells (Brush Border)","brush border epithelial cell","CL:0000239","epithelial cell",0.5
"HCL_top20",NA,"AHSP, HBG2, HBM, HBA1, HBA2, GYPA, ALAS2, HBG1, GYPB, PRDX2, BLVRB, SLC4A1, UROD, HMBS, GYPC, HEMGN, SLC25A37, AC104389.1, MGST3, TUBA1B","Erythroid cell","erythroid lineage cell","CL:0000764","erythroid cell","Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0.5
"HCL_top20",NA,"DCN, LUM, MGP, C1S, SERPING1, CFD, GPX3, ADH1B, C1R, EFEMP1, APOD, CXCL12, MFAP4, C7, DPT, CCDC80, NUPR1, LGALS1, MGST1, CD63","Stromal cell","stromal cell","CL:0000499","stromal cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0.5
"HCL_top20",NA,"PLP1, TUBB4A, ERMN, QKI, CLDN11, CNP, MAG, EDIL3, PTGDS, TF, TMEM144, SCD, FEZ1, SOX2-OT, APLP1, CRYAB, QDPR, ENPP2, CNDP1, GPM6B","Oligodendrocyte","oligodendrocyte","CL:0000128","oligodendrocyte","Oligodendrocytes","oligodendrocyte","CL:0000128","oligodendrocyte",1
"HCL_top20",NA,"TM4SF1, ICAM1, CD93, PLPP3, EMP1, ADAMTS9, PCAT19, IFI27, PNP, ATP1A1, SERPINE1, HMOX1, SELE, ETS2, THBD, GJA1, DDX21, HLA-B, SQSTM1, NDRG1","Endothelial cell","endothelial cell","CL:0000115","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1
"HCL_top20",NA,"SFTPB, SFTPC, SLC34A2, SFTPA2, SFTPA1, NPC2, NAPSA, MUC1, CTSH, SFTPD, RNASE1, SFTA2, SLPI, LAMP3, CYB5A, TPT1, CLDN18, SCD, DHCR24, LPCAT1","AT2 cell","type II pneumocyte","CL:0002063","epithelial cell","Type II Pneumocytes","type II pneumocyte","CL:0002063","epithelial cell",1
"HCL_top20",NA,"TG, TFF3, PCP4, GPX3, CRYAB, CD24, CTSB, TPO, CLU, IYD, SLC26A7, MT1X, PEBP1, FOSB, SDC2, VIM, GNAS, MT1F, MT1G, S100A13","Thyroid follicular cell","thyroid follicular cell","CL:0002258","epithelial cell","Thyroid cells",NA,NA,"thyroid cell",0
"HCL_top20",NA,"MT2A, CRYAB, GEM, SOD2, EEF1A1, EIF1, MAT2A, CXCL8, EMP1, RPS27, FTH1, THBS1, CREM, VIM, TPT1, RPL21, PRNP, RPLP1, TAGLN, B2M","Smooth muscle cell","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
"HCL_top20",NA,"CD74, HLA-DRA, HLA-DRB1, CD52, MS4A1, HLA-DPB1, CD79A, HLA-DPA1, CXCR4, HLA-DQB1, GPR183, LTB, LAPTM5, IGHM, CD37, VPREB3, HLA-DQA1, CD69, CD83, BIRC3","B cell","B cell","CL:0000236","b cell","B lymphocytes","B cell","CL:0000236","b cell",1
"HCL_top20",NA,"PLA2G2A, ADIRF, TM4SF1, HP, TMSB4X, TIMP1, SERPING1, EEF1A1, EFEMP1, S100A10, RPL21, OGN, TPT1, SLPI, ADH1B, RPS12, C3, RPL31, CCDC80, RPL34","Epithelial cell","epithelial cell","CL:0000066","epithelial cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0
"HCL_top20",NA,"PHGR1, ANPEP, FABP1, ALDOB, FABP2, ADIRF, RBP2, SI, EPCAM, PCK1, MT1G, PIGR, GSTA1, CES2, TSPAN8, LGALS4, KRT8, OAT, REG1A, NEAT1","Enterocyte","enterocyte","CL:0000584","epithelial cell","Enterocytes","enterocyte","CL:0000584","epithelial cell",1
"HCL_top20",NA,"RPS14, RPS29, RPS18, RPS6, RPS27, RPLP1, RPL31, RPL34, RPS19, RPL27A, RPS3, RPL7, RPS23, RPL21, RPL32, RPS27A, RPS3A, RPL15, RPS15, RPL13","Neutrophil (RPS high)","neutrophil","CL:0000775","granulocyte","Ribosomes",NA,NA,NA,0
