originalname,Clname,CLID,type
endothelial cell / vascular cells,"endothelial cell,NA","CL:0000115,NA","endothelial cell,blood vessel cell"
enterochromaffin cell / endocrine cells,"enterochromaffin-like cell,endocrine cell","CL:0000504,CL:0000163","epithelial cell,secretory cell"
enterocytes / absorptive cell,"enterocyte,absorptive cell","CL:0000584,CL:0000212",absorptive cell
epithelial cell / endothelial cells,"epithelial cell,endothelial cell","CL:0000066,CL:0000115","epithelial cell,endothelial cell"
epithelial cell / mesenchymal cells,"epithelial cell,mesenchymal cell","CL:0000066,CL:0008019","epithelial cell,mesenchymal cell"
epithelioid macrophage,epithelioid macrophage,CL:0002150,macrophage/monocyte
fibroblasts / endothelial cell,"fibroblast,endothelial cell","CL:0000057,CL:0000115","fibroblast,endothelial cell"
fibroblasts / immune cell,"fibroblast,NA","CL:0000057,NA","fibroblast,immune cell"
foxn4+ cell,NA,NA,NA
glutamatergic neurons,glutamatergic neuron,CL:0000679,neuron
goblet cell / epithelial cells,"goblet cell,epithelial cell","CL:0000160,CL:0000066",epithelial cell
ilc3 (group 3 innate lymphoid cell),group 3 innate lymphoid cell,CL:0001071,innate lymphoid cell
intestinal stem cell,NA,NA,stem cell
iodide-transporting cell,NA,NA,NA
lacrimal gland cell,NA,NA,NA
lgr5+ stem cell,NA,NA,stem cell
ltf granulocyte,NA,NA,granulocyte
m2c macrophage,NA,NA,macrophage/monocyte
mast cell / macrophages,"mast cell,macrophage","CL:0000097,CL:0000235","granulocyte,macrophage/monocyte"
mature endothelial cell,NA,NA,endothelial cell
memory cd4 t cell,"CD4-positive, alpha-beta memory T cell",CL:0000897,t/nk cell
migrating dendritic cell,NA,NA,dendritic cell
migratory langerhans cell,NA,NA,dendritic cell
mitochondrial-rich cell,NA,NA,NA
mki67+ progenitor cell,NA,NA,progenitor cell
monocytes / macrophages,"monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte
myoblasts / satellite cell,"myoblast,NA","CL:0000056,NA",progenitor cell
myocytes / smooth muscle cell,"muscle cell,smooth muscle cell","CL:0000187,CL:0000192",muscle cell
naive cytotoxic t cell,NA,NA,t/nk cell
neuroepithelial cell,neuroepithelial stem cell,CL:0002259,stem cell
nk cell / cytotoxic t cells,"natural killer cell,cytotoxic T cell","CL:0000623,CL:0000910",t/nk cell
rod cell,retinal rod cell,CL:0000604,neuron
serous cell,NA,NA,NA
smooth muscle cell / mesenchymal cells,"smooth muscle cell,mesenchymal cell","CL:0000192,CL:0008019","muscle cell,mesenchymal cell"
smooth muscle cell / myofibroblasts,"smooth muscle cell,myofibroblast cell","CL:0000192,CL:0000186","muscle cell,myofibroblast cell"
smooth muscle cell / vascular cells,"smooth muscle cell,NA","CL:0000192,NA","muscle cell,blood vessel cell"
t cell / nk cells,"T cell,natural killer cell","CL:0000084,CL:0000084",t/nk cell
thymus seeding progenitor (tsp),NA,NA,progenitor cell
undetermined/non-coding rna,NA,NA,NA
1) endothelial cell,endothelial cell,CL:0000115,endothelial cell
2) cardiomyocytes,cardiac muscle cell,CL:0000746,muscle cell
3) epithelial cell,epithelial cell,CL:0000066,epithelial cell
4) smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell
5) fibroblasts,fibroblast,fibroblast,fibroblast
6) macrophages,macrophage,CL:0000235,macrophage/monocyte
absorbing colonocytes,NA,NA,epithelial cell
acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,epithelial cell
"acinar cell, ductal cells","acinar cell,NA","CL:0000622,NA",epithelial cell
airway smooth muscle cell,NA,NA,muscle cell
alveolar epithelial type 2 cell,type II pneumocyte,CL:0002063,epithelial cell
alveolar fibroblast,NA,NA,fibroblast
arterial endothelial cell,endothelial cell of artery,CL:1000413,endothelial cell
artery endothelial cell,endothelial cell of artery,CL:1000413,endothelial cell
"b cell, plasma cells","B cell,plasma cell","CL:0000236,CL:0000786",b cell
basal cell of limbus,NA,NA,stem cell
basal cell of prostate epithelium,basal cell of prostate epithelium,CL:0002341,epithelial cell
basophil,basophil,CL:0000767,granulocyte
bladder urothelial cell,bladder urothelial cell,CL:1001428,epithelial cell
bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell
bronchial vessel endothelial cell,NA,NA,endothelial cell
cardiac endothelial cell,cardiac endothelial cell,CL:0010008,endothelial cell
cd141-positive myeloid dendritic cell,CD141-positive myeloid dendritic cell,CL:0002394,dendritic cell
cd1c-positive myeloid dendritic cell,CD1c-positive myeloid dendritic cell,CL:0002399,dendritic cell
cd24 neutrophil,NA,NA,granulocyte
cd4-positive helper t cell,CD4-positive helper T cell,CL:0000492,t/nk cell
"cd4-positive, alpha-beta memory t cell","CD4-positive, alpha-beta memory T cell",CL:0000897,t/nk cell
"cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell
"cd8-positive, alpha-beta cytokine secreting effector t cell","CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,t/nk cell
"cd8-positive, alpha-beta cytotoxic t cell","CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,t/nk cell
"cd8-positive, alpha-beta memory t cell","CD8-positive, alpha-beta memory T cell",CL:0000909,t/nk cell
"cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell
cd8b-positive nk t cell,NA,NA,t/nk cell
cell of skeletal muscle,cell of skeletal muscle,CL:0000188,muscle cell
cilia and flagella cell,NA,NA,NA
ciliary body,NA,NA,NA
ciliary epithelium,NA,NA,epithelial cell
classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte
club cell of prostate epithelium,club-like cell of the urethral epithelium,CL:4032000,epithelial cell
conjunctival epithelial cell,conjunctival epithelial cell,CL:1000432,epithelial cell
connective tissue cell,connective tissue cell,CL:0002320,connective tissue cell
corneal epithelial cell,corneal epithelial cell,CL:0000575,epithelial cell
corneal epithelial stem cell,NA,NA,stem cell
corneal keratocyte,keratocyte,CL:0002363,fibroblast
"cytotoxic t cell, natural killer cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623",t/nk cell
cytotoxic t-cell,cytotoxic T cell,CL:0000910,t/nk cell
"dendritic cell, myeloid cells","dendritic cell,myeloid cell","CL:0000451,CL:0000763","dendritic cell,myeloid cell"
dn1 thymic pro-t cell,DN1 thymic pro-T cell,CL:0000894,progenitor cell
dn3 thymocyte,DN3 thymocyte,CL:0000807,t/nk cell
dn4 thymocyte,DN4 thymocyte,CL:0000808,t/nk cell
"double-positive, alpha-beta thymocyte","double-positive, alpha-beta thymocyte",CL:0000809,t/nk cell
duct epithelial cell,duct epithelial cell,CL:0000068,epithelial cell
duodenum glandular cell,duodenum glandular cell,CL:1001589,epithelial cell
endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell
endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell
endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,endothelial cell
"endothelial cell, lymphatic cells",endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
enteric neural cell,enteric neuron,CL:0007011,neuron
enterocyte cell,enterocyte,CL:0000584,absorptive cell
enterocyte of epithelium of large intestine,enterocyte of epithelium of large intestine,CL:0002071,absorptive cell
enterocyte of epithelium of small intestine,enterocyte of epithelium of small intestine,CL:1000334,absorptive cell
enterocyte progenitor cell,NA,NA,progenitor cell
enteroglial cell,NA,NA,glial cell
epidermal basal cell,basal cell of epidermis,CL:0002187,epithelial cell
epithelial cell of lacrimal sac,epithelial cell of lacrimal sac,CL:1000436,epithelial cell
epithelial cell of uterus,epithelial cell of uterus,CL:0002149,epithelial cell
"erythrocyte, erythroblast","erythrocyte,erythroblast","CL:0000232,CL:0000765",erythroid cell
eye photoreceptor cell,eye photoreceptor cell,CL:0000287,neuron
fast muscle cell,fast muscle cell,CL:0000190,muscle cell
fibroblast of breast,fibroblast of breast,CL:4006000,fibroblast
fibroblast of cardiac tissue,fibroblast of cardiac tissue,CL:0002548,fibroblast
follicular cell,NA,NA,NA
gamma/delta cell,gamma-delta T cell,CL:0000798,t/nk cell
gut endothelial cell,gut endothelial cell,CL:0000131,endothelial cell
helper t-cell,helper T cell,CL:0000912,t/nk cell
hillock cell of prostate epithelium,NA,NA,epithelial cell
hillock-club cell of prostate epithelium,NA,NA,epithelial cell
hippocampal cell,hippocampal cell,hippocampal cell,brain cell
hypothetical cell type (not identifiable),NA,NA,NA
immature enterocyte,vacuolated fetal-type enterocyte,CL:0009067,absorptive cell
immature natural killer cell,immature natural killer cell,CL:0000823,t/nk cell
intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte
intestinal crypt stem cell,intestinal crypt stem cell,CL:0002250,stem cell
intestinal crypt stem cell of large intestine,intestinal crypt stem cell of large intestine,CL:0009016,stem cell
intestinal crypt stem cell of small intestine,intestinal crypt stem cell of small intestine,CL:0009017,stem cell
intestinal enteroendocrine cell,intestinal enteroendocrine cell,CL:1001516,epithelial cell
intestinal intraepithelial lymphocytes,intraepithelial lymphocyte,CL:0002496,t/nk cell
intestinal tuft cell,intestinal tuft cell,CL:0019032,epithelial cell
intrahepatic cholangiocyte,intrahepatic cholangiocyte,CL:0002538,epithelial cell
keratocyte,keratocyte,CL:0002363,fibroblast
keratocytes,keratocyte,CL:0002363,fibroblast
kidney epithelial cell,kidney epithelial cell,CL:0002518,epithelial cell
kinetochore-associated cell,NA,NA,NA
lacrimal gland functional unit cell,NA,NA,NA
lactating luminal cell,NA,NA,NA
large intestine goblet cell,large intestine goblet cell,CL:1000320,epithelial cell
leucocyte,leukocyte,CL:0000738,leukocyte
leukocyte endothelial cell,NA,NA,NA
limbal stem cell,NA,NA,stem cell
limbal stromal cell,NA,NA,stromal cell
liver dendritic cell,liver dendritic cell,CL:2000055,dendritic cell
luminal cell of prostate epithelium,luminal cell of prostate epithelium,CL:0002340,epithelial cell
luminal epithelial cell of mammary gland,luminal epithelial cell of mammary gland,CL:0002326,epithelial cell
lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell
"lung epithelial cell, salivary acinar cells","epithelial cell of lung,acinar cell of salivary gland","CL:0000082,CL:0002623",epithelial cell
lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell
"lung progenitor cell, kidney cells","NA,kidney cell","NA,CL:1000497","progenitor cell,kidney cell"
mature conventional dendritic cell,mature conventional dendritic cell,CL:0000841,dendritic cell
mature enterocyte,enterocyte,CL:0000584,absorptive cell
mature nk t cell,mature NK T cell,CL:0000814,t/nk cell
medullary thymic epithelial cell,medullary thymic epithelial cell,CL:0002365,epithelial cell
"megakaryocyte, cytotoxic t-cell","megakaryocyte,cytotoxic T cell","CL:0000556,CL:0000910","megakaryocyte,t/nk cell"
membrane t cell,NA,NA,t/nk cell
memory t cell,memory T cell,CL:0000813,t/nk cell
minor salivary gland duct cell,NA,NA,epithelial cell
mitochondrial cell,NA,NA,NA
mitochondrial genome expressing cell,NA,NA,NA
"monocyte, macrophage","monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte
mucosal epithelial cell,NA,NA,epithelial cell
mucous neck cell,mucous neck cell,CL:0000651,epithelial cell
mucus secreting cell,mucus secreting cell,CL:0000319,secretory cell
mucus-producing cell,mucus secreting cell,CL:0000319,secretory cell
mucus-secreting goblet cell,goblet cell,CL:0000160,epithelial cell
muller cell,Mueller cell,CL:0000636,glial cell
müller glia,Mueller cell,CL:0000636,glial cell
müller glia cell,Mueller cell,CL:0000636,glial cell
muscle precursor cell,muscle precursor cell,CL:0000680,progenitor cell
myeloid progenitor,common myeloid progenitor,CL:0000049,progenitor cell
myoblasts,myoblast,CL:0000056,progenitor cell
myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell
myometrial cell,myometrial cell,CL:0002366,muscle cell
naive regulatory t cell,naive regulatory T cell,CL:0002677,t/nk cell
naive t cell,naive T cell,CL:0000898,t/nk cell
"naive thymus-derived cd4-positive, alpha-beta t cell","naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
"naive thymus-derived cd8-positive, alpha-beta t cell","naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell
nampt neutrophil,NA,NA,granulocyte
"natural killer cell, cytotoxic t-cell","natural killer cell,cytotoxic T cell","CL:0000623,CL:0000910",t/nk cell
nervous system cell,NA,NA,NA
"neutrophil, monocyte","neutrophil,monocyte","CL:0000775,CL:0000576","granulocyte,macrophage/monocyte"
nk-t cell,NA,NA,t/nk cell
non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte
ocular surface cell,NA,NA,NA
oral mucosa cell,NA,NA,NA
pancreatic alpha cell,pancreatic A cell,CL:0000171,epithelial cell
pancreatic delta cell,pancreatic D cell,CL:0000173,epithelial cell
pancreatic pp cell,pancreatic PP cell,CL:0002275,epithelial cell
paneth cell of epithelium of large intestine,NA,NA,epithelial cell
paneth cell of epithelium of small intestine,paneth cell of epithelium of small intestine,CL:1000343,epithelial cell
pericyte cell,pericyte,CL:0000669,pericyte
phagocytes,phagocyte,CL:0000234,phagocyte
photoreceptors,photoreceptor cell,CL:0000210,neuron
preamyloidogenic b cell,NA,NA,b cell
pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell
regulatory t-cell,regulatory T cell,CL:0000815,t/nk cell
respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell
respiratory mucous cell,NA,NA,NA
retina horizontal cell,retina horizontal cell,CL:0000745,neuron
retinal bipolar neuron,retinal bipolar neuron,CL:0000748,neuron
retinal blood vessel endothelial cell,retinal blood vessel endothelial cell,CL:0002585,endothelial cell
retinal ganglion cell,retinal ganglion cell,CL:0000740,neuron
retinal pigment epithelium,retinal pigment epithelial cell,CL:0002586,epithelial cell
ribosomal protein cell,NA,NA,NA
rod photoreceptor cell,retinal rod cell,CL:0000604,neuron
rod photoreceptors,retinal rod cell,CL:0000604,neuron
salivary acinar cell,acinar cell of salivary gland,CL:0002623,epithelial cell
salivary gland epithelial cell,NA,NA,epithelial cell
serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell
serous cell of epithelium of trachea,serous cell of epithelium of trachea,CL:1000330,secretory cell
skeletal muscle satellite stem cell,skeletal muscle satellite stem cell,CL:0008011,stem cell
slow muscle cell,slow muscle cell,CL:0000189,muscle cell
small intestine goblet cell,small intestine goblet cell,CL:1000495,epithelial cell
small rnas,NA,NA,NA
"smooth muscle cell, myoepithelial cells","smooth muscle cell,myoepithelial cell","CL:0000192,CL:0000185","muscle cell,epithelial cell"
sperm,sperm,CL:0000019,germ cell
stem cell,stem cell,CL:0000034,stem cell
"t cell, helper t cells","T cell,helper T cell","CL:0000084,CL:0000912",t/nk cell
"t cell, regulatory t cells","T cell,regulatory T cell","CL:0000084,CL:0000815",t/nk cell
t cytotoxic cell,cytotoxic T cell,CL:0000910,t/nk cell
t effector memory cell,NA,NA,t/nk cell
t helper 17 cell,T-helper 17 cell,CL:0000899,t/nk cell
taste receptor cell,taste receptor cell,CL:0000209,epithelial cell
tendon cell,tendon cell,CL:0000388,stromal cell
tenocyte,tendon cell,CL:0000388,stromal cell
thymocyte,thymocyte,CL:0000893,t/nk cell
thymocytes (t cell),T cell,CL:0000084,t/nk cell
thymocytes (t-cell),T cell,CL:0000084,t/nk cell
tongue muscle cell,tongue muscle cell,CL:0002673,muscle cell
tracheal goblet cell,tracheal goblet cell,CL:1000329,epithelial cell
transit amplifying cell,transit amplifying cell,CL:0009010,transit amplifying cell
transit amplifying cell of large intestine,transit amplifying cell of colon,CL:0009011,transit amplifying cell
transit amplifying cell of small intestine,transit amplifying cell of small intestine,CL:0009012,transit amplifying cell
transitional epithelial cell,transitional epithelial cell,CL:0000244,epithelial cell
treg cell,regulatory T cell,CL:0000815,t/nk cell
tumor cell,neoplastic cell,CL:0001063,malignant cell
type i nk t cell,type I NK T cell,CL:0000921,t/nk cell
type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell
"unclear, multiple cell markers suggesting mixture of cell types",NA,NA,NA
unknow cell types,NA,NA,NA
unknown cell type,NA,NA,NA
vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell
vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
venous endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
venule endothelial cell,endothelial cell of venule,CL:1000414,endothelial cell
acinar cell / ductal cells,"acinar cell,NA","CL:0000622,NA",epithelial cell
activated effector cell,NA,NA,NA
adipocytes / vascular cell,"fat cell,NA","CL:0000136,NA",fat cell
"adipocytes, hepatocytes","fat cell,hepatocyte","CL:0009099,CL:0000182","fat cell,epithelial"
"adipocytes, lipid metabolizing cell","fat cell,NA","CL:0000136,NA",fat cell
"adipocytes, t cell","fat cell,T cell","CL:0000136,CL:0000084","fat cell,t/nk cell"
alveolar type ii cell / pneumocytes,type II pneumocyte,CL:0002063,epithelial cell
b cell / plasma cells,plasma cell,CL:0000786,b cell
"b cell, myeloid cells","B cell,myeloid cell","CL:0000236,CL:0000763","b cell,myeloid cell"
"b cell, myeloid cells, dendritic cells","B cell,myeloid cell,dendritic cell","CL:0000236,CL:0000763,CL:0000451","b cell,myeloid cell,dendritic cell"
b-2 cell,B-2 B cell,CL:0000822,b cell
b-cell,B cell,CL:0000236,b cell
basal cell / goblet cells,"basal cell,goblet cell","CL:0000646,CL:0000160","stem cell,epithelial cell"
basal cell of the epidermis,basal cell of epidermis,CL:0002187,epithelial cell
"basal cell, epidermal stem cells","basal cell,stem cell of epidermis","CL:0000646,CL:1000428",stem cell
blood vascular endothelial cell,blood vessel endothelial cell,CL:0000071,endothelial cell
bm,NA,NA,NA
breast cell,NA,NA,breast cell
breast epithelial cell ,mammary gland epithelial cell,CL:0002327,epithelial cell
bronchial epithelial cell / goblet cells,"bronchial epithelial cell,goblet cell","CL:0002328,CL:0000160",epithelial cell
cd3/cd28-stimulated nk cell,NA,NA,t/nk cell
cd34+ hematopoietic stem cell,hematopoietic stem cell,CL:0000037,stem cell
cd34+ pre-t cell,NA,NA,progenitor cell
classical dendritic cell b(cdcb),NA,NA,dendritic cell
club cell / goblet cells,"club cell,goblet cell","CL:0000158,CL:0000160",epithelial cell
connective tissue cell / fibroblasts,"connective tissue cell,fibroblast","CL:0002320,CL:0000057","connective tissue cell,fibroblast"
corneal fibroblast cell,NA,NA,fibroblast
corneal stromal cell,NA,NA,stromal cell
cytotoxic t cell / nk cells,"cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623",t/nk cell
cytotoxic t cell/natural killer cells,"cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623",t/nk cell
dclk1+ progenitor cell,NA,NA,progenitor cell
dendritic cell / macrophages,"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte"
ductal cell / epithelial cells,"NA,epithelial cell","NA,CL:0000066",epithelial cell
ductal cell / secretory cells,"NA,secretory cell","NA,CL:0000151",secretory cell
early t cell progenitor (etp),NA,NA,progenitor cell
effector cd4+ memory t (tem) cell,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,t/nk cell
effector t(teff) cell,effector T cell,CL:0000911,t/nk cell
enteric neurons,enteric neuron,CL:0007011,neuron
epithelial cell / muscle cells,"epithelial cell,muscle cell","CL:0000066,CL:0000187","epithelial cell,muscle cell"
epithelial cell and smooth muscle cells,"epithelial cell,smooth muscle cell","CL:0000066,CL:0000192","epithelial cell,muscle cell"
"epithelial cell, basal cells","epithelial cell,basal cells","CL:0000066,CL:0000646","epithelial cell,stem cell"
"epithelial cell, gastric epithelial cells","epithelial cell,NA","CL:0000066,NA",epithelial cell
epithelial stem cell,epithelial fate stem cell,CL:0000036,stem cell
"epithelial stem cell, smooth muscle cells","epithelial fate stem cell,smooth muscle cell","CL:0000036,CL:0000192","stem cell,muscle cell"
erythrocytes / hematopoietic cell,"erythrocyte,hematopoietic cell","CL:0000232,CL:0000988",erythroid cell
erythrocytes / red blood cell,"erythrocyte,primitive red blood cell","CL:0000232,CL:0002355",erythroid cell
erythroid lineage cell,erythroid lineage cell,CL:0000764,erythroid cell
extracellular matrix components,NA,NA,NA
fibroblasts / connective tissue cell,"fibroblast,connective tissue cell","CL:0000057,CL:0002320","fibroblast,connective tissue cell"
fibroblasts / extracellular matrix components,"fibroblast,NA","CL:0000057,NA",fibroblast
fibroblasts / mesenchymal cell,"fibroblast,mesenchymal cell","CL:0000057,CL:0008019","fibroblast,mesenchymal cell"
fibroblasts / stromal cell,"fibroblast,stromal cell","CL:0000057,CL:0000499","fibroblast,stromal cell"
"fibroblasts, dermal fibroblasts","fibroblast,NA","CL:0000057,NA",fibroblast
"fibroblasts, smooth muscle cell","fibroblast,smooth muscle cell","CL:0000057,CL:0000192","fibroblast,muscle cell"
follicle-associated epithelium cell,NA,NA,epithelial cell
follicular b cell,follicular B cell,CL:0000843,b cell
gabaergic neurons,GABAergic interneuron,CL:0011005,neuron
gamma (pp) cell,PP cell,CL:0000696,epithelial cell
glandular cell,NA,NA,secretory cell
glandular cell / secretory cells,"NA,secretory cell","NA,CL:0000151",secretory cell
glomerular endothelial cell (ecg),glomerular endothelial cell,CL:0002188,endothelial cell
granulocytes / neutrophils,"granulocyte,neutrophil","CL:0000094,CL:0000775",granulocyte
hematopoietic stem cell / progenitor cells,"hematopoietic stem cell,NA","CL:0000037,NA","stem cell,progenitor cell"
hepatocytes / endothelial cell,"hepatocyte,endothelial cell","CL:0000182,CL:0000115","epithelial cell,endothelial cell"
hsc_-g-csf,NA,NA,stem cell
immune system cell,NA,NA,immune cell
intermediate cell,NA,NA,NA
ionocytes,ionocyte,CL:0005006,epithelial cell
islet beta cell,type B pancreatic cell,CL:0000169,epithelial cell
keratinocytes / epithelial cell,"keratinocyte,epithelial cell","CL:0000312,CL:0000066",epithelial cell
kupffer-like cell,Kupffer cell,CL:0000091,macrophage/monocyte
leukocyte,leukocyte,CL:0000738,leukocyte
lipid droplet-containing cell,NA,NA,NA
luminal breast cancer cell,NA,NA,malignant cell
luminal breast epithelial cell,luminal epithelial cell of mammary gland,CL:0002326,epithelial cell
luminal epithelial breast cell,luminal epithelial cell of mammary gland,CL:0002326,epithelial cell
lymphocytes,lymphocyte,CL:0000542,lymphocyte
lymphocytes / immune cell,"lymphocyte,NA","CL:0000542,NA","lymphocyte,immune cell"
macrophages / dendritic cell,"macrophage,dendritic cell","CL:0000235,CL:0000451","macrophage/monocyte,dendritic cell"
macrophages / monocytes,"macrophage,monocyte","CL:0000235,CL:0000576",macrophage/monocyte
mast cell / basophils,"mast cell,basophil","CL:0000097,CL:0000767",granulocyte
mast cell / connective tissue cells,"mast cell,connective tissue cell","CL:0000097,CL:0002320","granulocyte,connective tissue cell"
mast cell / myeloid cells,"mast cell,myeloid cell","CL:0000097,CL:0000763","granulocyte,myeloid cell"
melanocytes and schwann cell,"melanocyte,Schwann cell","CL:0000148,CL:0002573","melanocyte,glial cell"
mesenchymal cell / myofibroblasts,"mesenchymal cell,myofibroblast cell","CL:0008019,CL:0000186","mesenchymal cell,myofibroblast"
mural cell,mural cell,CL:0008034,mural cell
muscle cell / myoblasts,"muscle cell,myoblast","CL:0000187,CL:0000056","muscle cell,progenitor cell"
"muscle cell, myocytes",muscle cell,CL:0000187,muscle cell
myo-epithelial cell,myoepithelial cell,CL:0000185,epithelial cell
"myocytes, smooth muscle cell","muscle cell,smooth muscle cell","CL:0000187,CL:0000192",muscle cell
naive double-positive t cell,NA,NA,t/nk cell
naive t(th0) cell,naive T cell,CL:0000898,t/nk cell
"natural killer cell, b cells","natural killer cell,B cell","CL:0000623,CL:0000236","t/nk cell,b cell"
natural killer cell/t-cells,"natural killer cell,T cell","CL:0000623,CL:0000084",t/nk cell
natural regulatory t cell,natural T-regulatory cell,CL:0000903,t/nk cell
neural crest cell / schwann cells,"neural crest cell,Schwann cell","CL:0011012,CL:0002573","embryonic cell,glial cell"
neutrophil lineage,neutrophil,CL:0000775,granulocyte
neutrophils / granulocytes,"neutrophil,granulocyte","CL:0000775,CL:0000094",granulocyte
neutrophils / macrophages,"neutrophil,macrophage","CL:0000775,CL:0000235","granulocyte,macrophage/monocyte"
neutrophils / monocytes,"neutrophil,monocyte","CL:0000775,CL:0000576","granulocyte,macrophage/monocyte"
neutrophils / myeloid cell,"myeloid cell,myeloid cell","CL:0000763,CL:0000763","granulocyte,myeloid cell"
nk and t cell,"natural killer cell,T cell","CL:0000623,CL:0000084",t/nk cell
nk cell / t cells,"natural killer cell,T cell","CL:0000623,CL:0000084",t/nk cell
no specific cell type (most of these markers are non-coding rnas),NA,NA,NA
non-coding rna / regulatory elements,NA,NA,NA
non-coding rna cell,NA,NA,NA
not applicable/ unknown,NA,NA,NA
p53-like cell,NA,NA,NA
pan-macrophage,macrophage,CL:0000235,macrophage/monocyte
pan‐t cell,T cell,CL:0000084,t/nk cell
"pericytes, smooth muscle cell","pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell"
plasma b cell,plasma cell,CL:0000786,b cell
plasma cell / b cells,"plasma cell,B cell","CL:0000786,CL:0000236",b cell
platelets/megakaryocytes,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte"
pro-myelocyte,NA,NA,progenitor cell
procr+ progenitor cell,NA,NA,progenitor cell
proliferating cell (various),NA,NA,NA
regulatory t(treg) cell,regulatory T cell,CL:0000815,t/nk cell
renal interstitium (mesenchymal cell),NA,NA,mesenchymal cell
rpe cell,retinal pigment epithelial cell,CL:0002586,epithelial cell
secretory cell / club cells,"secretory cell,club cell","CL:0000151,CL:0000158","secretory cell,epithelial cell"
smooth muscle cell / epithelial cells,"smooth muscle cell,epithelial cell","CL:0000192,CL:0000066","muscle cell,epithelial cell"
