"simuround","noise","gene","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
1,0.5,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,MIR4472-1,MIR640,RPS29P26,LOC122861294,MYCBPAP,LOC121838582,RHOQ","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
1,0.75,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,RPL13P12,TAS2R19,BRI3,ATAD2B,LOC112268318,LOC105376686,LOC120893119","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
1,0.75,"CR2,CD24,FAS,CXCR3,CD1c,RPS15P3,LOC107984824,PABPC1L2B","B cell_memory","memory B cell","CL:0000787","b cell","B Cells","B cell","CL:0000236","b cell",0.5
1,0.75,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC116268460,TNFRSF10A-AS1,RGS2,PPFIA1P1,RPL23AP94,PTPRK,CLEC2D,LOC123493289,PMS2P5,SLC2A3P1,LOC119369029,TRDJ1,LRMDA,SNORD116-4,LOC105373602,LOC121201615,SDHDP1,LOC124310567,ZNF277,TBC1D22A-DT,TRBJ1-5","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
1,0.75,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC100419553,LOC105373223,LINC02304,LOC122056888,LOC107987016,KCNJ18,LOC105377176,FAM20A,USP9YP6,LOC105375251,TCFL5,RN7SKP112","Luminal Epithelial",NA,NA,"epithelial cell","Mammary Epithelial Cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
1,0.75,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC123864083,IGHE,MRPS36P4,PENK-AS1,SECISBP2L","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
1,0.75,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC105377623,TRIOBP,LOC105377503,LOC105374016,LOC102724937,SNORD93,GPR36,LSP1P4,ING5,CMTS,LOC100286922,LOC116158507,LOC122756375,LOC642414","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
1,0.75,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,TBPL2,MIR4297,NFATC3,PRDM12","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
1,0.75,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,PPM1E,LOC101929326,LOC102723561,MFSD13B,LINC00537,CPXM1","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Basal Cells","basal cell","CL:0000646","stem cell",0
1,0.75,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC107986488,LOC110120789,RNU1-36P,UBE2D3P3,LOC105371501,ZEB2P1","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
1,0.75,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LYPD2,MIR1304,LOC113788279,FL1,BWQTL4,IGKV3D-11,RNU2-1,MARK2P11,AUTS12,CYP2C60P,DFNB27","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
1,0.75,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LINC02966,MDK,CRPPA-AS1,MAN2A1,SPTSSA,IFNA16,SLC25A38P1,LOC105371970,LOC112469009","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
1,0.75,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,BOD1P2,DISC2,TRAV15,LOC105375202,LOC123956164,LINC02510,SRXY10,TRX-CAT1-1,RBMY1F,NEXN-AS1","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
2,0.25,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC105371967,LOC100129144","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
2,0.25,"CR2,CD24,FAS,CXCR3,CD1c,C4orf46","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
2,0.25,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC107986202,TNIK,LOC107985536,ERCC6L2-AS1,LOC105376017,OST4,LOC110120918","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
2,0.25,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,TRDV1,LOC111365145,NIFKP6,LOC110121263","Luminal Epithelial",NA,NA,"epithelial cell","Breast epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
2,0.25,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,SLC25A5P5","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
2,0.25,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC101928217,LOC107986444,PSORS10,PA2G4P6","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
2,0.25,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,SCGB1C1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
2,0.25,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,RAB13,CLASRP","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Basal cells","basal cell","CL:0000646","stem cell",0
2,0.25,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LINC02402,AMD1","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
2,0.25,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LOC111365166,GOLGA8J,TRD-GTC2-10","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
2,0.25,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,KCTD10,LOC107987006,LOC122757935","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
2,0.25,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,RNU6-699P,LOC110120930,OR3B1P","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
2,0.5,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MTND2P12,LOC107984774,LOC123477728,CDC37,LOC113175002","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
2,0.5,"CR2,CD24,FAS,CXCR3,CD1c,ARNTL2-AS1,MIR941-2","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
2,0.5,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,MTND4LP30,RFTN1,C19orf12,SDHA,MIR9718,LOC105374513,LOC112267948,LINC02853,NPRL3,LOC110121325,LOC116309161,RN7SL719P,TYROBP,GPR4","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
2,0.5,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,RN7SKP203,OR2B3,LOC112577452,NDUFA5P1,H2BP2,COX6B2,LOC121627857,MIR4310","Luminal Epithelial",NA,NA,"epithelial cell","Breast epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
2,0.5,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC111365183,LOC105374841,CTDSPL","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
2,0.5,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC107985358,LOC110120848,LOC122149333,RNA5SP399,H2AJ,CERS4,NKG7,LOC105373570,ADGRG4","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
2,0.5,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,ZNF682,TRGVB,DYZ1L16","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
2,0.5,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,PTLS,LOC121852981,MTCO3P16,LOC105374094","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0.5
2,0.5,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC112268053,HNRNPA1P52,GINS3,SNORD114-7","Pericyte","pericyte","CL:0000669","pericyte","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",0
2,0.5,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,PIRC27,SPINK9,TET1P1,GKAP1,DNAJC1,ABCA11P,IL27RA","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Myocytes","muscle cell","CL:0000187","muscle cell",0.5
2,0.5,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,NDFIP2,RPS15AP21,ZNF107,C9orf57,KCTD9P1,LOC121848002","T cell","T cell","CL:0000084","t/nk cell","T-cells","T cell","CL:0000084","t/nk cell",1
2,0.5,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,SHCBP1,RN7SKP5,LRRC3-DT,PSAPL1,LOC105375484,LOC107984276,ELOCP6","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
2,0.75,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC110121144,POLR2G,LIME1,LOC108281147,GNAS,HHIPL1,LOC101059986","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
2,0.75,"CR2,CD24,FAS,CXCR3,CD1c,ALG1L12P,H2AW,PPIL4","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
2,0.75,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,MTND2P24,RNU1-27P,KTCN4,RNU6-3P,LOC100124402,RPL23A,ATP5MFP4,LOC124225052,SLC6A9,LOC123881371,MIR6731,BNIPL,MTATP8P3,GAPDHP35,LOC121967061,ADHD6,RN7SL172P,PLAC8L1,SGO1,SGCA,FBXO17","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
2,0.75,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC116186931,ZFP2,CFL1P3,ACO1,LOC107985475,LOC105375553,LCE5A,LINC00460,TRAJ11,LOC108254694,RNU2-49P,ZRANB3","Luminal Epithelial",NA,NA,"epithelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0.5
2,0.75,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,FLJ25758,LOC121967050,CDH12P3,STAT1,TRS-GCT2-1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
2,0.75,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC100996699,DAB1-AS1,EIF4EBP1,CAMK2A,LOC105377413,ABCD3,LYPD2,RPRD1B,TUBGCP4,PCP2,PPIAP48,LOC112268053,LINC00331,LINC02737","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
2,0.75,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,EDIL3,LOC123477778,DQX1,SPINK9","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
2,0.75,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,LOC107986412,LDHB,LINC02409,CA2,RN7SKP88,RAB44","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Basal cells","basal cell","CL:0000646","stem cell",0
2,0.75,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,TRAJ38,RPL7AP66,B4GALT3,PKP4,RNU6-46P,LOC100419781","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
2,0.75,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,UIMC1,TRIM43B,LOC121815952,ERVK-30,MIR3974,MIR4749,RNU6-567P,LOC112939932,GPC5,FCP1,LOC105373430","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
2,0.75,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,CDK5R2,LOC105373258,LOC342443,ARLNC1,HNRNPL,SFXN2,LOC105375673,SEC31A,LOC107986477","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
2,0.75,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,CPHL1P,WDR48,LINC00656,FRA13D,OTUB2,LOC112694716,LOC105374949,LOC123497960,LOC113939968,LOC112533647","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
3,0.25,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC101928636,SNORD13D","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
3,0.25,"CR2,CD24,FAS,CXCR3,CD1c,PARP4P2","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
3,0.25,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,PINX1-DT,ZNF565,HIPK1-AS1,KIF21A,CNTNAP3P3,LOC644462,FTH1P21","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
3,0.25,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,ZBTB7C-AS1,PYY,RNU4-84P,MGAT2P1","Luminal Epithelial",NA,NA,"epithelial cell","Breast epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
3,0.25,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,MYO1F","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
3,0.25,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC105375876,PGK1P1,RNU7-116P,PIF1","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
3,0.25,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,RPL9P30","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
3,0.25,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,SGCA,MFAP3","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0.5
